rep,timestamp,service,slo_f,state,last_iteration_length
1,2026-05-06 08:17:55.743721,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 80.0, 'avg_p_latency': 25.384615384615383, 'data_quality': 550.0, 'cores': 2.67, 'completion_rate': 1.0}",-1
1,2026-05-06 08:17:55.748030,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.38461538461538464, 'avg_p_latency': 339.0769230769231, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 3.0, 'completion_rate': 0.07692307692307693}",-1
1,2026-05-06 08:17:55.751906,elastic-workbench-pc-visualizer-1,0.9479166666666666,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 30.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 1.0}",-1
1,2026-05-06 08:18:05.740889,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 13.153846153846153, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",28
1,2026-05-06 08:18:05.744963,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.0, 'avg_p_latency': -1.0, 'data_quality': 205.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.0}",28
1,2026-05-06 08:18:05.752362,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 44.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",28
1,2026-05-06 08:18:15.736535,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 14.0, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",30
1,2026-05-06 08:18:15.739206,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.38461538461538464, 'avg_p_latency': 262.46153846153845, 'data_quality': 205.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.07692307692307693}",30
1,2026-05-06 08:18:15.742026,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 44.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",30
1,2026-05-06 08:18:25.739892,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 13.846153846153847, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",19
1,2026-05-06 08:18:25.742971,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.4166666666666667, 'avg_p_latency': 334.5833333333333, 'data_quality': 205.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.08333333333333334}",19
1,2026-05-06 08:18:25.746225,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 44.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",19
1,2026-05-06 08:18:35.739256,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 14.461538461538462, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",18
1,2026-05-06 08:18:35.742592,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.23076923076923078, 'avg_p_latency': 185.0, 'data_quality': 205.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.046153846153846156}",18
1,2026-05-06 08:18:35.745351,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 44.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",18
1,2026-05-06 08:18:45.739448,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 14.0, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",19
1,2026-05-06 08:18:45.742723,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.4166666666666667, 'avg_p_latency': 358.0833333333333, 'data_quality': 205.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.08333333333333334}",19
1,2026-05-06 08:18:45.746473,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.166666666666667, 'data_quality': 44.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",19
1,2026-05-06 08:18:55.740812,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 15.0, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",17
1,2026-05-06 08:18:55.743505,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.46153846153846156, 'avg_p_latency': 323.6923076923077, 'data_quality': 205.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.09230769230769231}",17
1,2026-05-06 08:18:55.746317,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 44.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",17
1,2026-05-06 08:19:05.743230,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 16.0, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",17
1,2026-05-06 08:19:05.749999,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.5833333333333334, 'avg_p_latency': 379.3333333333333, 'data_quality': 205.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.11666666666666667}",17
1,2026-05-06 08:19:05.753300,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 44.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",17
1,2026-05-06 08:19:15.742212,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 15.76923076923077, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",23
1,2026-05-06 08:19:15.745035,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.5384615384615384, 'avg_p_latency': 517.1538461538462, 'data_quality': 205.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.10769230769230768}",23
1,2026-05-06 08:19:15.747691,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 50.0, 'avg_p_latency': 5.0, 'data_quality': 44.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 1.0}",23
1,2026-05-06 08:19:25.743060,elastic-workbench-qr-detector-1,0.8202203919270833,"{'throughput': 80.0, 'avg_p_latency': 15.461538461538462, 'data_quality': 379.0, 'cores': 1.65, 'completion_rate': 1.0}",17
