data_rate,rep,service_type,slo_set,p_fitness,dist,cores,data_quality,model_size
0.05,1,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,1,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,1,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,2,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,2,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,2,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,3,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,3,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,3,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,4,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,4,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,4,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,5,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,5,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,5,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,6,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,6,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,6,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,7,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,7,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,7,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,8,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,8,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,8,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,9,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,9,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,9,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,10,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,10,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,10,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,11,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,11,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,11,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,12,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,12,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,12,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,13,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,13,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,13,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,14,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,14,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
0.05,14,elastic-workbench-pc-visualizer,DEFAULT,0.7387494469019747,"(np.float64(190.3411394020919), np.float64(21.648240510239088))",1.0,43.85256632411518,-1.0
0.05,15,elastic-workbench-qr-detector,DEFAULT,0.4047209710591623,"(np.float64(299.4414456565001), np.float64(181.41718349412417))",1.64550753732237,379.46502920147,-1.0
0.05,15,elastic-workbench-cv-analyzer,DEFAULT,0.46256731950642654,"(np.float64(9.47428437956299), np.float64(5.151431252589053))",1.0000000000000009,205.07797704999626,1.0635780282914675
