rep,timestamp,service,slo_f,state,last_iteration_length
1,2026-07-15 15:10:04.162627,elastic-workbench-qr-detector-1,0.2592140619166667,"{'throughput': 81.0, 'avg_p_latency': 10.0, 'data_quality': 550.0, 'cores': 4.0, 'completion_rate': 0.0405}",-1
1,2026-07-15 15:10:24.159379,elastic-workbench-qr-detector-1,0.3358236151603498,"{'throughput': 71.42857142857143, 'avg_p_latency': 49.0, 'data_quality': 908.0, 'cores': 4.0, 'completion_rate': 0.03571428571428571}",10
1,2026-07-15 15:10:44.161766,elastic-workbench-qr-detector-1,0.34518221269367283,"{'throughput': 158.16666666666666, 'avg_p_latency': 25.583333333333332, 'data_quality': 901.0, 'cores': 9.0, 'completion_rate': 0.07908333333333332}",8
1,2026-07-15 15:11:04.162254,elastic-workbench-qr-detector-1,0.34274362381780477,"{'throughput': 149.41666666666666, 'avg_p_latency': 22.416666666666668, 'data_quality': 772.0, 'cores': 6.0, 'completion_rate': 0.07470833333333333}",7
1,2026-07-15 15:11:24.162433,elastic-workbench-qr-detector-1,0.34943354861743287,"{'throughput': 201.92307692307693, 'avg_p_latency': 18.53846153846154, 'data_quality': 756.0, 'cores': 7.0, 'completion_rate': 0.10096153846153846}",7
1,2026-07-15 15:11:44.159677,elastic-workbench-qr-detector-1,0.29284204355116833,"{'throughput': 578.1538461538462, 'avg_p_latency': 6.0, 'data_quality': 386.0, 'cores': 10.0, 'completion_rate': 0.2890769230769231}",7
1,2026-07-15 15:12:04.163684,elastic-workbench-qr-detector-1,0.34508646694814904,"{'throughput': 225.23076923076923, 'avg_p_latency': 18.153846153846153, 'data_quality': 710.0, 'cores': 7.0, 'completion_rate': 0.11261538461538462}",6
1,2026-07-15 15:12:24.160545,elastic-workbench-qr-detector-1,0.277326648123881,"{'throughput': 208.53846153846155, 'avg_p_latency': 14.923076923076923, 'data_quality': 552.0, 'cores': 4.0, 'completion_rate': 0.10426923076923077}",7
1,2026-07-15 15:12:44.175255,elastic-workbench-qr-detector-1,0.3436197654200424,"{'throughput': 147.08333333333334, 'avg_p_latency': 26.0, 'data_quality': 902.0, 'cores': 10.0, 'completion_rate': 0.07354166666666667}",7
1,2026-07-15 15:13:04.164420,elastic-workbench-qr-detector-1,0.20451406056674384,"{'throughput': 655.3333333333334, 'avg_p_latency': 1.8333333333333333, 'data_quality': 165.0, 'cores': 2.0, 'completion_rate': 0.32766666666666666}",17
1,2026-07-15 15:13:24.167027,elastic-workbench-qr-detector-1,0.29149511928125,"{'throughput': 679.0, 'avg_p_latency': 4.0, 'data_quality': 313.0, 'cores': 10.0, 'completion_rate': 0.3395}",5
1,2026-07-15 15:13:44.167691,elastic-workbench-qr-detector-1,0.3225774497561728,"{'throughput': 342.6666666666667, 'avg_p_latency': 12.0, 'data_quality': 578.0, 'cores': 10.0, 'completion_rate': 0.17133333333333334}",5
1,2026-07-15 15:14:04.169688,elastic-workbench-qr-detector-1,0.3237105453554089,"{'throughput': 300.38461538461536, 'avg_p_latency': 12.692307692307692, 'data_quality': 604.0, 'cores': 8.0, 'completion_rate': 0.15019230769230768}",9
1,2026-07-15 15:14:24.166383,elastic-workbench-qr-detector-1,0.2715531378063272,"{'throughput': 797.8333333333334, 'avg_p_latency': 2.0, 'data_quality': 168.0, 'cores': 10.0, 'completion_rate': 0.3989166666666667}",7
1,2026-07-15 15:14:44.165809,elastic-workbench-qr-detector-1,0.14264854087819087,"{'throughput': 90.6923076923077, 'avg_p_latency': 19.615384615384617, 'data_quality': 355.0, 'cores': 1.0, 'completion_rate': 0.04534615384615385}",5
1,2026-07-15 15:15:04.170788,elastic-workbench-qr-detector-1,0.3016817557388118,"{'throughput': 386.6666666666667, 'avg_p_latency': 10.0, 'data_quality': 515.0, 'cores': 8.0, 'completion_rate': 0.19333333333333333}",5
1,2026-07-15 15:15:24.171795,elastic-workbench-qr-detector-1,0.2824776044669174,"{'throughput': 73.58333333333333, 'avg_p_latency': 34.166666666666664, 'data_quality': 597.0, 'cores': 2.0, 'completion_rate': 0.03679166666666667}",6
1,2026-07-15 15:15:44.172249,elastic-workbench-qr-detector-1,0.2577729705511066,"{'throughput': 660.3846153846154, 'avg_p_latency': 3.230769230769231, 'data_quality': 269.0, 'cores': 4.0, 'completion_rate': 0.3301923076923077}",6
1,2026-07-15 15:16:04.173091,elastic-workbench-qr-detector-1,0.08680483309374999,"{'throughput': 137.0, 'avg_p_latency': 6.153846153846154, 'data_quality': 251.0, 'cores': 2.0, 'completion_rate': 0.0685}",7
1,2026-07-15 15:16:24.169203,elastic-workbench-qr-detector-1,0.32723065382650585,"{'throughput': 139.92307692307693, 'avg_p_latency': 14.23076923076923, 'data_quality': 696.0, 'cores': 5.0, 'completion_rate': 0.06996153846153846}",6
1,2026-07-15 15:16:44.177972,elastic-workbench-qr-detector-1,0.3454102456328125,"{'throughput': 238.25, 'avg_p_latency': 17.25, 'data_quality': 701.0, 'cores': 10.0, 'completion_rate': 0.119125}",5
1,2026-07-15 15:17:04.175887,elastic-workbench-qr-detector-1,0.3336269875493827,"{'throughput': 24.333333333333332, 'avg_p_latency': 91.25, 'data_quality': 953.0, 'cores': 2.0, 'completion_rate': 0.012166666666666666}",11
1,2026-07-15 15:17:24.173358,elastic-workbench-qr-detector-1,0.3332467678854167,"{'throughput': 42.0, 'avg_p_latency': 17.0, 'data_quality': 775.0, 'cores': 8.0, 'completion_rate': 0.021}",8
1,2026-07-15 15:17:44.176949,elastic-workbench-qr-detector-1,0.26209161188256713,"{'throughput': 727.2307692307693, 'avg_p_latency': 2.0, 'data_quality': 220.0, 'cores': 10.0, 'completion_rate': 0.3636153846153846}",5
1,2026-07-15 15:18:04.175626,elastic-workbench-qr-detector-1,0.19060167137313666,"{'throughput': 281.0769230769231, 'avg_p_latency': 5.0, 'data_quality': 381.0, 'cores': 10.0, 'completion_rate': 0.14053846153846156}",5
