timestamp,service_type,container_id,avg_p_latency,s_config,cores,rps,throughput,cooldown
2026-07-16 12:13:47.393528,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 30, 'model_size': 1, 'parallelism': 1}",4.0,-1,128,-1
2026-07-16 12:14:17.392506,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,3,"{'data_quality': 14, 'model_size': 1, 'parallelism': 1}",8.0,-1,400,-1
2026-07-16 12:14:47.393023,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 26, 'model_size': 1, 'parallelism': 1}",4.0,-1,415,-1
2026-07-16 12:15:17.393127,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 42, 'model_size': 1, 'parallelism': 1}",4.0,-1,288,-1
2026-07-16 12:15:47.394209,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 27, 'model_size': 1, 'parallelism': 1}",7.0,-1,404,-1
2026-07-16 12:16:17.394521,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,4,"{'data_quality': 22, 'model_size': 1, 'parallelism': 1}",6.0,-1,413,-1
2026-07-16 12:16:47.395574,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 50, 'model_size': 1, 'parallelism': 1}",4.0,-1,219,-1
2026-07-16 12:17:17.396103,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 23, 'model_size': 1, 'parallelism': 1}",3.0,-1,323,-1
2026-07-16 12:17:47.397123,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,4,"{'data_quality': 16, 'model_size': 1, 'parallelism': 1}",5.0,-1,396,-1
2026-07-16 12:18:17.404261,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,9,"{'data_quality': 58, 'model_size': 1, 'parallelism': 1}",8.0,-1,157,-1
2026-07-16 12:18:47.398260,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 29, 'model_size': 1, 'parallelism': 1}",8.0,-1,381,-1
2026-07-16 12:19:17.404003,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,6,"{'data_quality': 19, 'model_size': 1, 'parallelism': 1}",1.0,-1,119,-1
2026-07-16 12:19:47.399232,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 31, 'model_size': 1, 'parallelism': 1}",2.0,-1,211,-1
2026-07-16 12:20:17.399722,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,5,"{'data_quality': 39, 'model_size': 1, 'parallelism': 1}",8.0,-1,226,-1
