timestamp,service_type,container_id,avg_p_latency,s_config,cores,rps,throughput,cooldown
2026-07-15 16:29:23.055195,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,16,"{'data_quality': 550, 'parallelism': 1}",4.0,-1,41,-1
2026-07-15 16:29:53.057124,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,5,"{'data_quality': 263, 'parallelism': 1}",10.0,-1,572,-1
2026-07-15 16:30:23.055465,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,41,"{'data_quality': 995, 'parallelism': 1}",10.0,-1,88,-1
2026-07-15 16:30:53.057117,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,73,"{'data_quality': 934, 'parallelism': 1}",3.0,-1,39,-1
2026-07-15 16:31:23.058260,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,6,"{'data_quality': 301, 'parallelism': 1}",10.0,-1,528,-1
2026-07-15 16:31:53.056188,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,24,"{'data_quality': 720, 'parallelism': 1}",9.0,-1,172,-1
2026-07-15 16:32:23.056369,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 295, 'parallelism': 1}",4.0,-1,398,-1
2026-07-15 16:32:53.056504,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,22,"{'data_quality': 277, 'parallelism': 1}",1.0,-1,112,-1
2026-07-15 16:33:23.057210,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 183, 'parallelism': 1}",9.0,-1,639,-1
2026-07-15 16:33:53.058434,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,36,"{'data_quality': 919, 'parallelism': 1}",4.0,-1,18,-1
2026-07-15 16:34:23.058809,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,33,"{'data_quality': 861, 'parallelism': 1}",10.0,-1,67,-1
2026-07-15 16:34:53.059279,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 179, 'parallelism': 1}",3.0,-1,581,-1
2026-07-15 16:35:23.060403,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,5,"{'data_quality': 274, 'parallelism': 1}",7.0,-1,561,-1
2026-07-15 16:35:53.061668,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,10,"{'data_quality': 366, 'parallelism': 1}",5.0,-1,386,-1
2026-07-15 16:36:23.061334,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,69,"{'data_quality': 918, 'parallelism': 1}",4.0,-1,49,-1
2026-07-15 16:36:53.062088,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,56,"{'data_quality': 367, 'parallelism': 1}",1.0,-1,65,-1
2026-07-15 16:37:23.062912,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,33,"{'data_quality': 516, 'parallelism': 1}",3.0,-1,116,-1
2026-07-15 16:37:53.065179,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,20,"{'data_quality': 662, 'parallelism': 1}",10.0,-1,141,-1
2026-07-15 16:38:23.064650,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,"{'data_quality': 789, 'parallelism': 1}",10.0,-1,104,-1
2026-07-15 16:38:53.065127,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,17,"{'data_quality': 591, 'parallelism': 1}",10.0,-1,271,-1
2026-07-15 16:39:23.065970,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,10,"{'data_quality': 420, 'parallelism': 1}",10.0,-1,159,-1
2026-07-15 16:39:53.065747,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,27,"{'data_quality': 426, 'parallelism': 1}",2.0,-1,118,-1
2026-07-15 16:40:23.066240,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,4,"{'data_quality': 225, 'parallelism': 1}",8.0,-1,576,-1
2026-07-15 16:40:53.066648,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,64,"{'data_quality': 845, 'parallelism': 1}",4.0,-1,58,-1
2026-07-15 16:41:23.069169,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,17,"{'data_quality': 570, 'parallelism': 1}",8.0,-1,249,-1
2026-07-15 16:41:53.068567,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,38,"{'data_quality': 951, 'parallelism': 1}",10.0,-1,69,-1
2026-07-15 16:42:23.068968,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,"{'data_quality': 611, 'parallelism': 1}",5.0,-1,150,-1
2026-07-15 16:42:53.068720,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,101,"{'data_quality': 502, 'parallelism': 1}",1.0,-1,37,-1
2026-07-15 16:43:23.073962,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,5,"{'data_quality': 286, 'parallelism': 1}",8.0,-1,482,-1
2026-07-15 16:43:53.069598,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 348, 'parallelism': 1}",9.0,-1,515,-1
2026-07-15 16:44:23.070170,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,35,"{'data_quality': 952, 'parallelism': 1}",9.0,-1,61,-1
2026-07-15 16:44:53.070815,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,14,"{'data_quality': 525, 'parallelism': 1}",10.0,-1,286,-1
2026-07-15 16:45:23.071851,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,26,"{'data_quality': 758, 'parallelism': 1}",10.0,-1,84,-1
2026-07-15 16:45:53.071211,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,9,"{'data_quality': 411, 'parallelism': 1}",10.0,-1,414,-1
2026-07-15 16:46:23.071767,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,41,"{'data_quality': 988, 'parallelism': 1}",10.0,-1,70,-1
2026-07-15 16:46:53.072332,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,29,"{'data_quality': 826, 'parallelism': 1}",9.0,-1,24,-1
2026-07-15 16:47:23.073086,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,85,"{'data_quality': 697, 'parallelism': 1}",2.0,-1,37,-1
2026-07-15 16:47:53.083705,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,33,"{'data_quality': 868, 'parallelism': 1}",3.0,-1,37,-1
2026-07-15 16:48:23.075187,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 352, 'parallelism': 1}",10.0,-1,480,-1
2026-07-15 16:48:53.075852,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,59,"{'data_quality': 566, 'parallelism': 1}",2.0,-1,62,-1
2026-07-15 16:49:23.075412,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,2,"{'data_quality': 147, 'parallelism': 1}",10.0,-1,713,-1
2026-07-15 16:49:53.076821,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 201, 'parallelism': 1}",10.0,-1,629,-1
2026-07-15 16:50:23.077976,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,10,"{'data_quality': 412, 'parallelism': 1}",10.0,-1,426,-1
2026-07-15 16:50:53.076924,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,24,"{'data_quality': 728, 'parallelism': 1}",10.0,-1,170,-1
2026-07-15 16:51:23.078430,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,94,"{'data_quality': 809, 'parallelism': 1}",2.0,-1,29,-1
2026-07-15 16:51:53.078230,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,21,"{'data_quality': 669, 'parallelism': 1}",8.0,-1,192,-1
2026-07-15 16:52:23.080168,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,20,"{'data_quality': 567, 'parallelism': 1}",6.0,-1,217,-1
2026-07-15 16:52:53.079072,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,"{'data_quality': 782, 'parallelism': 1}",10.0,-1,74,-1
2026-07-15 16:53:23.084332,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 261, 'parallelism': 1}",3.0,-1,386,-1
2026-07-15 16:53:53.080699,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,46,"{'data_quality': 757, 'parallelism': 1}",3.0,-1,61,-1
2026-07-15 16:54:23.080715,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,"{'data_quality': 371, 'parallelism': 1}",2.0,-1,148,-1
2026-07-15 16:54:53.081315,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,27,"{'data_quality': 613, 'parallelism': 1}",5.0,-1,154,-1
2026-07-15 16:55:23.082464,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,23,"{'data_quality': 700, 'parallelism': 1}",10.0,-1,198,-1
2026-07-15 16:55:53.086930,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,25,"{'data_quality': 736, 'parallelism': 1}",10.0,-1,170,-1
2026-07-15 16:56:23.083664,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,42,"{'data_quality': 1000, 'parallelism': 1}",10.0,-1,94,-1
2026-07-15 16:56:53.085718,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,5,"{'data_quality': 275, 'parallelism': 1}",5.0,-1,287,-1
2026-07-15 16:57:23.085115,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,42,"{'data_quality': 987, 'parallelism': 1}",4.0,-1,30,-1
2026-07-15 16:57:53.086477,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 209, 'parallelism': 1}",5.0,-1,621,-1
2026-07-15 16:58:23.085812,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,40,"{'data_quality': 734, 'parallelism': 1}",5.0,-1,100,-1
2026-07-15 16:58:53.086487,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,38,"{'data_quality': 928, 'parallelism': 1}",10.0,-1,57,-1
2026-07-15 16:59:23.086774,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,42,"{'data_quality': 887, 'parallelism': 1}",7.0,-1,56,-1
2026-07-15 16:59:53.087490,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,12,"{'data_quality': 472, 'parallelism': 1}",10.0,-1,376,-1
2026-07-15 17:00:23.089536,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,"{'data_quality': 376, 'parallelism': 1}",2.0,-1,132,-1
2026-07-15 17:00:53.089224,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,"{'data_quality': 825, 'parallelism': 1}",8.0,-1,121,-1
2026-07-15 17:01:23.091120,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,30,"{'data_quality': 434, 'parallelism': 1}",1.0,-1,54,-1
2026-07-15 17:01:53.089958,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,2,"{'data_quality': 132, 'parallelism': 1}",6.0,-1,720,-1
2026-07-15 17:02:23.090359,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,35,"{'data_quality': 896, 'parallelism': 1}",7.0,-1,78,-1
2026-07-15 17:02:53.091333,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,12,"{'data_quality': 472, 'parallelism': 1}",10.0,-1,360,-1
2026-07-15 17:03:23.093304,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,20,"{'data_quality': 632, 'parallelism': 1}",10.0,-1,234,-1
2026-07-15 17:03:53.092708,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,7,"{'data_quality': 330, 'parallelism': 1}",7.0,-1,524,-1
2026-07-15 17:04:23.094178,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,37,"{'data_quality': 934, 'parallelism': 1}",10.0,-1,81,-1
2026-07-15 17:04:53.093748,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,82,"{'data_quality': 949, 'parallelism': 1}",4.0,-1,47,-1
2026-07-15 17:05:23.094909,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,22,"{'data_quality': 690, 'parallelism': 1}",9.0,-1,192,-1
2026-07-15 17:05:53.095660,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,39,"{'data_quality': 946, 'parallelism': 1}",9.0,-1,74,-1
2026-07-15 17:06:23.096232,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,6,"{'data_quality': 307, 'parallelism': 1}",10.0,-1,567,-1
2026-07-15 17:06:53.096354,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,39,"{'data_quality': 963, 'parallelism': 1}",5.0,-1,17,-1
2026-07-15 17:07:23.097902,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,27,"{'data_quality': 776, 'parallelism': 1}",10.0,-1,143,-1
