rep,timestamp,service,slo_f,state,last_iteration_length
1,2025-06-06 16:15:04.501694,elastic-workbench-qr-detector-1,0.8374087791495199,"{'throughput': 44.333333333333336, 'avg_p_latency': 54.166666666666664, 'data_quality': 700.0, 'cores': 2.0, 'completion_rate': 0.44333333333333336}",-1
1,2025-06-06 16:15:04.510967,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.75, 'avg_p_latency': 581.5, 'data_quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0075}",-1
1,2025-06-06 16:15:09.507960,elastic-workbench-qr-detector-1,0.781,"{'throughput': 39.0, 'avg_p_latency': 50.583333333333336, 'data_quality': 700.0, 'cores': 2.0, 'completion_rate': 0.39}",2365
1,2025-06-06 16:15:09.517588,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 1.0, 'avg_p_latency': 621.1538461538462, 'data_quality': 256.0, 'cores': 2.0, 'model_size': 2.0, 'completion_rate': 0.01}",2365
1,2025-06-06 16:15:14.500171,elastic-workbench-qr-detector-1,0.7628891809199246,"{'throughput': 44.916666666666664, 'avg_p_latency': 45.083333333333336, 'data_quality': 600.0, 'cores': 2.0, 'completion_rate': 0.44916666666666666}",2208
1,2025-06-06 16:15:14.506896,elastic-workbench-cv-analyzer-1,0.5158125365138696,"{'throughput': 3.0833333333333335, 'avg_p_latency': 295.9166666666667, 'data_quality': 224.0, 'cores': 2.0, 'model_size': 2.0, 'completion_rate': 0.030833333333333334}",2208
1,2025-06-06 16:15:19.500998,elastic-workbench-qr-detector-1,0.7467603952331962,"{'throughput': 57.166666666666664, 'avg_p_latency': 35.416666666666664, 'data_quality': 500.0, 'cores': 2.0, 'completion_rate': 0.5716666666666667}",2339
1,2025-06-06 16:15:19.508899,elastic-workbench-cv-analyzer-1,0.32340709938579926,"{'throughput': 3.923076923076923, 'avg_p_latency': 236.0, 'data_quality': 192.0, 'cores': 2.0, 'model_size': 2.0, 'completion_rate': 0.03923076923076923}",2339
1,2025-06-06 16:15:24.500274,elastic-workbench-qr-detector-1,0.75,"{'throughput': 70.33333333333333, 'avg_p_latency': 28.0, 'data_quality': 500.0, 'cores': 2.0, 'completion_rate': 0.7033333333333333}",2344
1,2025-06-06 16:15:24.505905,elastic-workbench-cv-analyzer-1,0.32340709938579926,"{'throughput': 5.666666666666667, 'avg_p_latency': 185.75, 'data_quality': 192.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 0.05666666666666667}",2344
1,2025-06-06 16:15:29.501562,elastic-workbench-qr-detector-1,0.8417968750000001,"{'throughput': 65.07692307692308, 'avg_p_latency': 30.76923076923077, 'data_quality': 600.0, 'cores': 2.0, 'completion_rate': 0.6507692307692308}",2193
1,2025-06-06 16:15:29.512495,elastic-workbench-cv-analyzer-1,0.535180542119914,"{'throughput': 9.538461538461538, 'avg_p_latency': 101.76923076923077, 'data_quality': 224.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 0.09538461538461539}",2193
1,2025-06-06 16:15:34.502259,elastic-workbench-qr-detector-1,0.8047598379629631,"{'throughput': 50.0, 'avg_p_latency': 39.75, 'data_quality': 600.0, 'cores': 2.0, 'completion_rate': 0.5}",2229
1,2025-06-06 16:15:34.510137,elastic-workbench-cv-analyzer-1,0.535180542119914,"{'throughput': 7.916666666666667, 'avg_p_latency': 124.66666666666667, 'data_quality': 224.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 0.07916666666666666}",2229
1,2025-06-06 16:15:39.502867,elastic-workbench-qr-detector-1,0.8333763014906692,"{'throughput': 55.38461538461539, 'avg_p_latency': 39.23076923076923, 'data_quality': 600.0, 'cores': 3.0, 'completion_rate': 0.5538461538461539}",2221
1,2025-06-06 16:15:39.515143,elastic-workbench-cv-analyzer-1,0.535180542119914,"{'throughput': 9.0, 'avg_p_latency': 111.3076923076923, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 0.09}",2221
1,2025-06-06 16:15:44.505036,elastic-workbench-qr-detector-1,0.75,"{'throughput': 63.583333333333336, 'avg_p_latency': 47.25, 'data_quality': 500.0, 'cores': 3.0, 'completion_rate': 0.6358333333333334}",2841
1,2025-06-06 16:15:44.514920,elastic-workbench-cv-analyzer-1,0.535180542119914,"{'throughput': 9.25, 'avg_p_latency': 107.33333333333333, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 0.0925}",2841
1,2025-06-06 16:15:49.503404,elastic-workbench-qr-detector-1,0.75,"{'throughput': 87.3076923076923, 'avg_p_latency': 34.92307692307692, 'data_quality': 500.0, 'cores': 4.0, 'completion_rate': 0.8730769230769231}",2813
1,2025-06-06 16:15:49.511216,elastic-workbench-cv-analyzer-1,0.535180542119914,"{'throughput': 9.23076923076923, 'avg_p_latency': 106.0, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 0.0923076923076923}",2813
1,2025-06-06 16:15:54.505834,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 33.583333333333336, 'data_quality': 500.0, 'cores': 4.0, 'completion_rate': 1.0}",2688
1,2025-06-06 16:15:54.514028,elastic-workbench-cv-analyzer-1,0.535180542119914,"{'throughput': 10.5, 'avg_p_latency': 91.75, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 0.105}",2688
1,2025-06-06 16:15:59.504985,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 33.583333333333336, 'data_quality': 500.0, 'cores': 4.0, 'completion_rate': 1.0}",2745
1,2025-06-06 16:15:59.518706,elastic-workbench-cv-analyzer-1,0.535180542119914,"{'throughput': 10.461538461538462, 'avg_p_latency': 93.0, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 0.10461538461538461}",2745
1,2025-06-06 16:16:04.505800,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 34.833333333333336, 'data_quality': 500.0, 'cores': 5.0, 'completion_rate': 1.0}",2993
1,2025-06-06 16:16:04.513775,elastic-workbench-cv-analyzer-1,0.5162675458511835,"{'throughput': 10.25, 'avg_p_latency': 92.75, 'data_quality': 192.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 0.1025}",2993
1,2025-06-06 16:16:09.505949,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 34.0, 'data_quality': 500.0, 'cores': 5.0, 'completion_rate': 1.0}",2600
1,2025-06-06 16:16:09.517996,elastic-workbench-cv-analyzer-1,0.535180542119914,"{'throughput': 12.615384615384615, 'avg_p_latency': 75.84615384615384, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 0.12615384615384614}",2600
1,2025-06-06 16:16:14.505789,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 35.583333333333336, 'data_quality': 500.0, 'cores': 5.0, 'completion_rate': 1.0}",2590
1,2025-06-06 16:16:14.513096,elastic-workbench-cv-analyzer-1,0.6799004994768325,"{'throughput': 8.75, 'avg_p_latency': 113.33333333333333, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 2.0, 'completion_rate': 0.0875}",2590
1,2025-06-06 16:16:19.508434,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 37.69230769230769, 'data_quality': 500.0, 'cores': 5.0, 'completion_rate': 1.0}",2789
1,2025-06-06 16:16:19.524468,elastic-workbench-cv-analyzer-1,0.6417885286074653,"{'throughput': 4.153846153846154, 'avg_p_latency': 221.53846153846155, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 2.0, 'completion_rate': 0.041538461538461545}",2789
1,2025-06-06 16:16:24.507923,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 38.0, 'data_quality': 500.0, 'cores': 5.0, 'completion_rate': 1.0}",2808
1,2025-06-06 16:16:24.517521,elastic-workbench-cv-analyzer-1,0.6700625365138695,"{'throughput': 4.583333333333333, 'avg_p_latency': 202.5, 'data_quality': 224.0, 'cores': 3.0, 'model_size': 2.0, 'completion_rate': 0.04583333333333333}",2808
1,2025-06-06 16:16:29.509515,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 34.07692307692308, 'data_quality': 500.0, 'cores': 5.0, 'completion_rate': 1.0}",2660
1,2025-06-06 16:16:29.523156,elastic-workbench-cv-analyzer-1,0.64179811659724,"{'throughput': 5.615384615384615, 'avg_p_latency': 165.46153846153845, 'data_quality': 192.0, 'cores': 3.0, 'model_size': 2.0, 'completion_rate': 0.05615384615384615}",2660
1,2025-06-06 16:16:34.509450,elastic-workbench-qr-detector-1,0.75,"{'throughput': 100.0, 'avg_p_latency': 40.166666666666664, 'data_quality': 500.0, 'cores': 4.0, 'completion_rate': 1.0}",3280
1,2025-06-06 16:16:34.520298,elastic-workbench-cv-analyzer-1,0.64179811659724,"{'throughput': 5.166666666666667, 'avg_p_latency': 176.58333333333334, 'data_quality': 192.0, 'cores': 4.0, 'model_size': 2.0, 'completion_rate': 0.051666666666666666}",3280
1,2025-06-06 16:16:39.512518,elastic-workbench-qr-detector-1,0.75,"{'throughput': 96.07692307692308, 'avg_p_latency': 40.23076923076923, 'data_quality': 500.0, 'cores': 4.0, 'completion_rate': 0.9607692307692308}",3164
1,2025-06-06 16:16:39.531370,elastic-workbench-cv-analyzer-1,0.64179811659724,"{'throughput': 6.538461538461538, 'avg_p_latency': 141.0, 'data_quality': 192.0, 'cores': 4.0, 'model_size': 2.0, 'completion_rate': 0.06538461538461539}",3164
1,2025-06-06 16:16:44.519221,elastic-workbench-qr-detector-1,0.75,"{'throughput': 99.16666666666667, 'avg_p_latency': 38.333333333333336, 'data_quality': 500.0, 'cores': 4.0, 'completion_rate': 0.9916666666666667}",3048
1,2025-06-06 16:16:44.534150,elastic-workbench-cv-analyzer-1,0.64179811659724,"{'throughput': 7.0, 'avg_p_latency': 135.0, 'data_quality': 192.0, 'cores': 4.0, 'model_size': 2.0, 'completion_rate': 0.07}",3048
1,2025-06-06 16:16:49.516539,elastic-workbench-qr-detector-1,0.8417968750000001,"{'throughput': 91.23076923076923, 'avg_p_latency': 42.0, 'data_quality': 600.0, 'cores': 4.0, 'completion_rate': 0.9123076923076923}",3281
1,2025-06-06 16:16:49.536104,elastic-workbench-cv-analyzer-1,0.64179811659724,"{'throughput': 6.076923076923077, 'avg_p_latency': 163.15384615384616, 'data_quality': 192.0, 'cores': 4.0, 'model_size': 2.0, 'completion_rate': 0.06076923076923077}",3281
