index,rep,timestamp,pixel,pixel_thresh,fps,fps_thresh,energy,cores,free_cores
1,1,2024-12-03 21:15:53.992922,800.0,800,27.2,33,0,3.0,6
1,1,2024-12-03 21:15:59.243541,800.0,800,67.5,33,0,4.0,5.0
1,1,2024-12-03 21:16:04.384141,800.0,800,66.8,33,0,3.0,6.0
1,1,2024-12-03 21:16:09.576636,800.0,800,50.0,33,0,2.0,7.0
1,1,2024-12-03 21:16:14.753706,800.0,800,29.6,33,0,1.0,8.0
1,1,2024-12-03 21:16:20.121697,800.0,800,47.8,33,0,2.0,7.0
1,1,2024-12-03 21:16:25.366037,800.0,800,24.0,33,0,1.0,8.0
1,1,2024-12-03 21:16:30.805125,800.0,800,48.2,33,0,2.0,7.0
1,1,2024-12-03 21:16:36.240079,800.0,800,27.6,33,0,1.0,8.0
1,1,2024-12-03 21:16:41.683343,800.0,800,42.75,33,0,2.0,7.0
1,2,2024-12-03 21:16:45.467305,800.0,800,37.0,33,0,3.0,6
1,2,2024-12-03 21:16:50.730941,800.0,800,42.2,33,0,2.0,7.0
1,2,2024-12-03 21:16:55.950486,800.0,800,25.6,33,0,1.0,8.0
1,2,2024-12-03 21:17:01.385252,800.0,800,49.8,33,0,2.0,7.0
1,2,2024-12-03 21:17:06.673712,800.0,800,28.6,33,0,1.0,8.0
1,2,2024-12-03 21:17:11.868063,800.0,800,46.2,33,0,2.0,7.0
1,2,2024-12-03 21:17:17.040771,800.0,800,25.5,33,0,1.0,8.0
1,2,2024-12-03 21:17:22.238087,800.0,800,40.0,33,0,2.0,7.0
1,2,2024-12-03 21:17:27.413702,800.0,800,24.8,33,0,1.0,8.0
1,2,2024-12-03 21:17:32.620969,800.0,800,42.0,33,0,2.0,7.0
1,3,2024-12-03 21:17:37.395146,800.0,800,25.25,33,0,3.0,6
1,3,2024-12-03 21:17:42.715370,800.0,800,63.6,33,0,4.0,5.0
1,3,2024-12-03 21:17:47.889727,800.0,800,54.6,33,0,3.0,6.0
1,3,2024-12-03 21:17:53.178779,800.0,800,31.4,33,0,2.0,7.0
1,3,2024-12-03 21:17:58.493702,800.0,800,59.25,33,0,3.0,6.0
1,3,2024-12-03 21:18:03.728285,800.0,800,55.6,33,0,2.0,7.0
1,3,2024-12-03 21:18:08.927858,800.0,800,30.0,33,0,1.0,8.0
1,3,2024-12-03 21:18:14.294956,800.0,800,47.8,33,0,2.0,7.0
1,3,2024-12-03 21:18:19.532836,800.0,800,24.2,33,0,1.0,8.0
1,3,2024-12-03 21:18:24.939301,800.0,800,53.2,33,0,2.0,7.0
1,4,2024-12-03 21:18:28.606790,800.0,800,38.6,33,0,3.0,6
1,4,2024-12-03 21:18:33.730538,800.0,800,51.2,33,0,2.0,7.0
1,4,2024-12-03 21:18:39.028953,800.0,800,26.4,33,0,1.0,8.0
1,4,2024-12-03 21:18:44.197085,800.0,800,48.8,33,0,2.0,7.0
1,4,2024-12-03 21:18:49.500308,800.0,800,28.2,33,0,1.0,8.0
1,4,2024-12-03 21:18:54.826309,800.0,800,48.8,33,0,2.0,7.0
1,4,2024-12-03 21:19:00.178892,800.0,800,27.6,33,0,1.0,8.0
1,4,2024-12-03 21:19:05.404702,800.0,800,49.4,33,0,2.0,7.0
1,4,2024-12-03 21:19:10.648082,800.0,800,29.4,33,0,1.0,8.0
1,4,2024-12-03 21:19:15.736268,800.0,800,48.0,33,0,2.0,7.0
1,5,2024-12-03 21:19:19.998383,800.0,800,32.2,33,0,3.0,6
1,5,2024-12-03 21:19:25.233437,800.0,800,74.0,33,0,4.0,5.0
1,5,2024-12-03 21:19:30.388681,800.0,800,49.4,33,0,3.0,6.0
1,5,2024-12-03 21:19:35.592838,800.0,800,40.4,33,0,2.0,7.0
1,5,2024-12-03 21:19:40.803179,800.0,800,24.2,33,0,1.0,8.0
1,5,2024-12-03 21:19:45.979927,800.0,800,41.8,33,0,2.0,7.0
1,5,2024-12-03 21:19:51.254606,800.0,800,25.0,33,0,1.0,8.0
1,5,2024-12-03 21:19:56.922270,800.0,800,43.4,33,0,2.0,7.0
1,5,2024-12-03 21:20:02.264564,800.0,800,28.0,33,0,1.0,8.0
1,5,2024-12-03 21:20:07.518808,800.0,800,33.8,33,0,2.0,7.0
2,1,2024-12-03 21:20:11.228120,1000.0,1000,38.8,33,0,2.0,5
2,1,2024-12-03 21:20:16.600710,1000.0,1000,17.5,33,0,1.0,6.0
2,1,2024-12-03 21:20:22.256558,1000.0,1000,26.8,33,0,2.0,5.0
2,1,2024-12-03 21:20:27.416950,1000.0,1000,39.8,33,0,3.0,4.0
2,1,2024-12-03 21:20:32.795582,1000.0,1000,32.6,33,0,2.0,5.0
2,1,2024-12-03 21:20:38.016306,1000.0,1000,50.4,33,0,3.0,4.0
2,1,2024-12-03 21:20:43.251319,1000.0,1000,39.5,33,0,2.0,5.0
2,1,2024-12-03 21:20:48.511920,1000.0,1000,23.6,33,0,1.0,6.0
2,1,2024-12-03 21:20:53.995826,1000.0,1000,33.6,33,0,2.0,5.0
2,1,2024-12-03 21:20:58.999574,1000.0,1000,37.0,33,0,2.0,5.0
2,2,2024-12-03 21:21:02.680658,1000.0,1000,25.6,33,0,2.0,5
2,2,2024-12-03 21:21:07.936972,1000.0,1000,47.6,33,0,3.0,4.0
2,2,2024-12-03 21:21:13.186400,1000.0,1000,37.4,33,0,2.0,5.0
2,2,2024-12-03 21:21:18.599195,1000.0,1000,20.6,33,0,1.0,6.0
2,2,2024-12-03 21:21:24.226071,1000.0,1000,15.333333333333334,33,0,2.0,5.0
2,2,2024-12-03 21:21:29.401710,1000.0,1000,40.0,33,0,3.0,4.0
2,2,2024-12-03 21:21:34.655004,1000.0,1000,31.8,33,0,2.0,5.0
2,2,2024-12-03 21:21:39.906194,1000.0,1000,39.6,33,0,3.0,4.0
2,2,2024-12-03 21:21:45.208390,1000.0,1000,32.2,33,0,2.0,5.0
2,2,2024-12-03 21:21:50.313692,1000.0,1000,40.2,33,0,3.0,4.0
2,3,2024-12-03 21:21:53.996057,1000.0,1000,20.6,33,0,2.0,5
2,3,2024-12-03 21:21:59.446071,1000.0,1000,40.0,33,0,3.0,4.0
2,3,2024-12-03 21:22:04.645666,1000.0,1000,32.0,33,0,2.0,5.0
2,3,2024-12-03 21:22:09.880173,1000.0,1000,39.0,33,0,3.0,4.0
2,3,2024-12-03 21:22:15.182091,1000.0,1000,34.2,33,0,2.0,5.0
2,3,2024-12-03 21:22:20.186054,1000.0,1000,35.6,33,0,2.0,5.0
2,3,2024-12-03 21:22:25.189523,1000.0,1000,38.6,33,0,2.0,5.0
2,3,2024-12-03 21:22:30.644569,1000.0,1000,22.6,33,0,1.0,6.0
2,3,2024-12-03 21:22:36.057115,1000.0,1000,37.25,33,0,2.0,5.0
2,3,2024-12-03 21:22:41.645117,1000.0,1000,22.25,33,0,1.0,6.0
2,4,2024-12-03 21:22:45.383520,1000.0,1000,34.8,33,0,2.0,5
2,4,2024-12-03 21:22:50.387029,1000.0,1000,36.6,33,0,2.0,5
2,4,2024-12-03 21:22:55.723570,1000.0,1000,20.75,33,0,1.0,6.0
2,4,2024-12-03 21:23:00.994448,1000.0,1000,39.0,33,0,2.0,5.0
2,4,2024-12-03 21:23:06.345725,1000.0,1000,23.0,33,0,1.0,6.0
2,4,2024-12-03 21:23:11.601789,1000.0,1000,32.0,33,0,2.0,5.0
2,4,2024-12-03 21:23:16.836824,1000.0,1000,40.25,33,0,3.0,4.0
2,4,2024-12-03 21:23:22.076005,1000.0,1000,28.5,33,0,2.0,5.0
2,4,2024-12-03 21:23:27.502811,1000.0,1000,39.8,33,0,3.0,4.0
2,4,2024-12-03 21:23:32.953626,1000.0,1000,32.0,33,0,2.0,5.0
2,5,2024-12-03 21:23:36.588417,1000.0,1000,43.6,33,0,2.0,5
2,5,2024-12-03 21:23:42.340820,1000.0,1000,23.4,33,0,1.0,6.0
2,5,2024-12-03 21:23:47.945351,1000.0,1000,32.0,33,0,2.0,5.0
