index,rep,timestamp,pixel,pixel_thresh,fps,fps_thresh,energy,cores,free_cores
1,1,2024-12-03 14:57:44.444223,400.0,800,82.2,33,0,3.0,6.0
1,1,2024-12-03 14:57:49.612607,400.0,800,94.8,33,0,2.0,7.0
1,1,2024-12-03 14:57:54.749917,400.0,800,50.2,33,0,1.0,8.0
1,1,2024-12-03 14:57:59.786707,500.0,800,42.0,33,0,1.0,8.0
1,1,2024-12-03 14:58:04.793475,600.0,800,34.4,33,0,1.0,8.0
1,1,2024-12-03 14:58:09.810078,700.0,800,31.0,33,0,1.0,8.0
1,1,2024-12-03 14:58:14.821761,800.0,800,28.4,33,0,1.0,8.0
1,1,2024-12-03 14:58:19.899885,900.0,800,23.8,33,0,1.0,8.0
1,1,2024-12-03 14:58:24.993051,1000.0,800,22.4,33,0,1.0,8.0
1,1,2024-12-03 14:58:30.028537,900.0,800,25.6,33,0,1.0,8.0
1,2,2024-12-03 14:58:36.899902,400.0,800,82.5,33,0,3.0,6.0
1,2,2024-12-03 14:58:42.101787,400.0,800,80.75,33,0,2.0,7.0
1,2,2024-12-03 14:58:47.320665,400.0,800,51.5,33,0,1.0,8.0
1,2,2024-12-03 14:58:52.392652,500.0,800,33.4,33,0,1.0,8.0
1,2,2024-12-03 14:58:57.410151,600.0,800,32.0,33,0,1.0,8.0
1,2,2024-12-03 14:59:02.489770,700.0,800,31.25,33,0,1.0,8.0
1,2,2024-12-03 14:59:07.512583,800.0,800,20.8,33,0,1.0,8.0
1,2,2024-12-03 14:59:12.524329,900.0,800,23.75,33,0,1.0,8.0
1,2,2024-12-03 14:59:17.741894,900.0,800,37.0,33,0,2.0,7.0
1,2,2024-12-03 14:59:22.849891,900.0,800,23.6,33,0,1.0,8.0
1,3,2024-12-03 14:59:29.259839,400.0,800,71.4,33,0,3.0,6.0
1,3,2024-12-03 14:59:34.385949,400.0,800,79.2,33,0,2.0,7.0
1,3,2024-12-03 14:59:39.653316,400.0,800,54.8,33,0,1.0,8.0
1,3,2024-12-03 14:59:44.684581,500.0,800,41.6,33,0,1.0,8.0
1,3,2024-12-03 14:59:49.696044,600.0,800,34.75,33,0,1.0,8.0
1,3,2024-12-03 14:59:54.793839,700.0,800,31.4,33,0,1.0,8.0
1,3,2024-12-03 14:59:59.824403,800.0,800,24.8,33,0,1.0,8.0
1,3,2024-12-03 15:00:04.832199,900.0,800,23.5,33,0,1.0,8.0
1,3,2024-12-03 15:00:10.086555,1000.0,800,22.25,33,0,1.0,8.0
1,3,2024-12-03 15:00:15.106903,1100.0,800,16.2,33,0,1.0,8.0
1,4,2024-12-03 15:00:22.597897,400.0,800,68.8,33,0,3.0,6.0
1,4,2024-12-03 15:00:27.792841,400.0,800,93.6,33,0,2.0,7.0
1,4,2024-12-03 15:00:32.936114,400.0,800,47.25,33,0,1.0,8.0
1,4,2024-12-03 15:00:37.951001,500.0,800,43.0,33,0,1.0,8.0
1,4,2024-12-03 15:00:43.011734,600.0,800,33.6,33,0,1.0,8.0
1,4,2024-12-03 15:00:48.080934,700.0,800,30.5,33,0,1.0,8.0
1,4,2024-12-03 15:00:53.093273,800.0,800,27.0,33,0,1.0,8.0
1,4,2024-12-03 15:00:58.212309,900.0,800,24.0,33,0,1.0,8.0
1,4,2024-12-03 15:01:03.281662,1000.0,800,22.5,33,0,1.0,8.0
1,4,2024-12-03 15:01:08.381106,1100.0,800,18.0,33,0,1.0,8.0
1,5,2024-12-03 15:01:15.006759,400.0,800,68.0,33,0,3.0,6.0
1,5,2024-12-03 15:01:20.010815,400.0,800,76.8,33,0,3.0,6.0
1,5,2024-12-03 15:01:25.161879,400.0,800,81.0,33,0,2.0,7.0
1,5,2024-12-03 15:01:30.344605,400.0,800,55.6,33,0,1.0,8.0
1,5,2024-12-03 15:01:35.380938,500.0,800,36.0,33,0,1.0,8.0
1,5,2024-12-03 15:01:40.402212,600.0,800,33.2,33,0,1.0,8.0
1,5,2024-12-03 15:01:45.409223,700.0,800,30.8,33,0,1.0,8.0
1,5,2024-12-03 15:01:50.486157,800.0,800,25.5,33,0,1.0,8.0
1,5,2024-12-03 15:01:55.504471,900.0,800,24.0,33,0,1.0,8.0
1,5,2024-12-03 15:02:00.592462,1000.0,800,23.5,33,0,1.0,8.0
2,1,2024-12-03 15:02:07.720205,800.0,1000,41.5,33,0,2.0,5.0
2,1,2024-12-03 15:02:12.894917,800.0,1000,58.2,33,0,3.0,4.0
2,1,2024-12-03 15:02:18.232214,800.0,1000,70.2,33,0,4.0,3.0
2,1,2024-12-03 15:02:23.482893,800.0,1000,64.0,33,0,3.0,4.0
2,1,2024-12-03 15:02:28.521538,900.0,1000,49.0,33,0,3.0,4.0
2,1,2024-12-03 15:02:33.843453,900.0,1000,57.0,33,0,4.0,3.0
2,1,2024-12-03 15:02:39.158127,900.0,1000,63.2,33,0,5.0,2.0
2,1,2024-12-03 15:02:44.326921,900.0,1000,59.4,33,0,4.0,3.0
2,1,2024-12-03 15:02:49.533803,900.0,1000,53.8,33,0,5.0,2.0
2,1,2024-12-03 15:02:54.883910,900.0,1000,56.75,33,0,4.0,3.0
2,2,2024-12-03 15:02:59.905552,800.0,1000,51.0,33,0,2.0,5.0
2,2,2024-12-03 15:03:05.016307,800.0,1000,55.6,33,0,3.0,4.0
2,2,2024-12-03 15:03:10.236843,800.0,1000,66.6,33,0,4.0,3.0
2,2,2024-12-03 15:03:15.258610,900.0,1000,63.2,33,0,4.0,3.0
2,2,2024-12-03 15:03:20.412895,900.0,1000,42.6,33,0,3.0,4.0
2,2,2024-12-03 15:03:25.674020,900.0,1000,57.25,33,0,4.0,3.0
