rep,timestamp,service,slo_f,state,last_iteration_length
1,2025-06-28 19:27:01.603290,elastic-workbench-qr-detector-1,0.9579332418838592,"{'throughput': 75.16666666666667, 'avg_p_latency': 26.0, 'data_quality': 700.0, 'cores': 2.0, 'completion_rate': 0.7516666666666667}",-1
1,2025-06-28 19:27:01.659767,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.0, 'avg_p_latency': -1.0, 'data_quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0}",-1
1,2025-06-28 19:27:01.716600,elastic-workbench-pc-visualizer-1,0.8826666666666667,"{'throughput': 47.166666666666664, 'avg_p_latency': 20.833333333333332, 'data_quality': 30.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 0.4716666666666666}",-1
1,2025-06-28 19:27:11.534387,elastic-workbench-qr-detector-1,0.7591004007260181,"{'throughput': 38.69230769230769, 'avg_p_latency': 25.307692307692307, 'data_quality': 684.0, 'cores': 1.0, 'completion_rate': 0.3869230769230769}",305
1,2025-06-28 19:27:11.591205,elastic-workbench-cv-analyzer-1,0.2394332071820498,"{'throughput': 0.5833333333333334, 'avg_p_latency': 483.5, 'data_quality': 172.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.005833333333333334}",305
1,2025-06-28 19:27:11.651122,elastic-workbench-pc-visualizer-1,0.8233386666666668,"{'throughput': 47.92307692307692, 'avg_p_latency': 20.23076923076923, 'data_quality': 24.0, 'cores': 3.0, 'model_size': 1.0, 'completion_rate': 0.4792307692307692}",305
1,2025-06-28 19:27:21.539740,elastic-workbench-qr-detector-1,0.8909849008468337,"{'throughput': 44.61538461538461, 'avg_p_latency': 43.61538461538461, 'data_quality': 929.0, 'cores': 2.0, 'completion_rate': 0.4461538461538461}",237
1,2025-06-28 19:27:21.610166,elastic-workbench-cv-analyzer-1,0.27981388475529106,"{'throughput': 0.16666666666666666, 'avg_p_latency': 133.33333333333334, 'data_quality': 246.0, 'cores': 4.0, 'model_size': 4.0, 'completion_rate': 0.0016666666666666666}",237
1,2025-06-28 19:27:21.670528,elastic-workbench-pc-visualizer-1,0.756064,"{'throughput': 50.46153846153846, 'avg_p_latency': 19.23076923076923, 'data_quality': 17.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 0.5046153846153846}",237
1,2025-06-28 19:27:31.544550,elastic-workbench-qr-detector-1,0.6385513545519422,"{'throughput': 28.76923076923077, 'avg_p_latency': 34.23076923076923, 'data_quality': 819.0, 'cores': 1.0, 'completion_rate': 0.2876923076923077}",258
1,2025-06-28 19:27:31.602349,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.0, 'avg_p_latency': -1.0, 'data_quality': 318.0, 'cores': 4.0, 'model_size': 4.0, 'completion_rate': 0.0}",258
1,2025-06-28 19:27:31.656382,elastic-workbench-pc-visualizer-1,0.951616,"{'throughput': 47.23076923076923, 'avg_p_latency': 20.384615384615383, 'data_quality': 38.0, 'cores': 4.0, 'model_size': 1.0, 'completion_rate': 0.4723076923076923}",258
1,2025-06-28 19:27:41.537954,elastic-workbench-qr-detector-1,0.8172445258344765,"{'throughput': 100.0, 'avg_p_latency': 11.0, 'data_quality': 421.0, 'cores': 3.0, 'completion_rate': 1.0}",235
