rep,timestamp,service,slo_f,state,last_iteration_length
1,2025-06-28 17:02:20.964131,elastic-workbench-qr-detector-1,0.9579332418838592,"{'throughput': 75.41666666666667, 'avg_p_latency': 25.75, 'data_quality': 700.0, 'cores': 2.0, 'completion_rate': 0.7541666666666668}",-1
1,2025-06-28 17:02:21.026872,elastic-workbench-cv-analyzer-1,0.2604809034704389,"{'throughput': 0.15384615384615385, 'avg_p_latency': 122.38461538461539, 'data_quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0015384615384615385}",-1
1,2025-06-28 17:02:21.081428,elastic-workbench-pc-visualizer-1,0.8826666666666667,"{'throughput': 47.833333333333336, 'avg_p_latency': 20.5, 'data_quality': 30.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 0.47833333333333333}",-1
1,2025-06-28 17:02:30.890857,elastic-workbench-qr-detector-1,0.8670146492912666,"{'throughput': 100.0, 'avg_p_latency': 16.416666666666668, 'data_quality': 511.0, 'cores': 2.61, 'completion_rate': 1.0}",914
1,2025-06-28 17:02:30.943806,elastic-workbench-cv-analyzer-1,0.2672749825278941,"{'throughput': 0.4166666666666667, 'avg_p_latency': 392.25, 'data_quality': 241.0, 'cores': 2.63, 'model_size': 3.0, 'completion_rate': 0.004166666666666667}",914
1,2025-06-28 17:02:31.010209,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 48.5, 'avg_p_latency': 19.833333333333332, 'data_quality': 59.0, 'cores': 2.65, 'model_size': 1.0, 'completion_rate': 0.485}",914
1,2025-06-28 17:02:40.880996,elastic-workbench-qr-detector-1,0.8516338024691358,"{'throughput': 100.0, 'avg_p_latency': 15.0, 'data_quality': 483.0, 'cores': 2.62, 'completion_rate': 1.0}",450
1,2025-06-28 17:02:40.934927,elastic-workbench-cv-analyzer-1,0.2803108465608466,"{'throughput': 0.25, 'avg_p_latency': 240.0, 'data_quality': 240.0, 'cores': 2.61, 'model_size': 4.0, 'completion_rate': 0.0025}",450
1,2025-06-28 17:02:40.993930,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 45.75, 'avg_p_latency': 21.0, 'data_quality': 60.0, 'cores': 2.54, 'model_size': 1.0, 'completion_rate': 0.4575}",450
1,2025-06-28 17:02:50.885317,elastic-workbench-qr-detector-1,0.8527385688157293,"{'throughput': 100.0, 'avg_p_latency': 14.583333333333334, 'data_quality': 485.0, 'cores': 2.69, 'completion_rate': 1.0}",357
1,2025-06-28 17:02:50.938552,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.0, 'avg_p_latency': -1.0, 'data_quality': 245.0, 'cores': 2.45, 'model_size': 4.0, 'completion_rate': 0.0}",357
1,2025-06-28 17:02:51.003259,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 46.666666666666664, 'avg_p_latency': 20.583333333333332, 'data_quality': 60.0, 'cores': 2.58, 'model_size': 1.0, 'completion_rate': 0.4666666666666666}",357
1,2025-06-28 17:03:00.890649,elastic-workbench-qr-detector-1,0.846654024691358,"{'throughput': 71.0, 'avg_p_latency': 13.75, 'data_quality': 474.0, 'cores': 1.07, 'completion_rate': 0.71}",1546
1,2025-06-28 17:03:00.948281,elastic-workbench-cv-analyzer-1,0.3126124338624339,"{'throughput': 0.5833333333333334, 'avg_p_latency': 471.1666666666667, 'data_quality': 320.0, 'cores': 6.45, 'model_size': 4.0, 'completion_rate': 0.005833333333333334}",1546
1,2025-06-28 17:03:01.002525,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 47.083333333333336, 'avg_p_latency': 20.75, 'data_quality': 59.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.4708333333333334}",1546
1,2025-06-28 17:03:10.883442,elastic-workbench-qr-detector-1,0.8394432272519433,"{'throughput': 73.66666666666667, 'avg_p_latency': 13.0, 'data_quality': 461.0, 'cores': 1.09, 'completion_rate': 0.7366666666666667}",291
1,2025-06-28 17:03:10.941577,elastic-workbench-cv-analyzer-1,0.3204232804232804,"{'throughput': 0.6666666666666666, 'avg_p_latency': 604.0, 'data_quality': 320.0, 'cores': 5.95, 'model_size': 4.0, 'completion_rate': 0.006666666666666666}",291
1,2025-06-28 17:03:10.999339,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 46.166666666666664, 'avg_p_latency': 20.75, 'data_quality': 60.0, 'cores': 1.06, 'model_size': 1.0, 'completion_rate': 0.46166666666666667}",291
1,2025-06-28 17:03:20.909303,elastic-workbench-qr-detector-1,0.8472079332418838,"{'throughput': 70.91666666666667, 'avg_p_latency': 13.75, 'data_quality': 475.0, 'cores': 1.13, 'completion_rate': 0.7091666666666667}",298
1,2025-06-28 17:03:20.964752,elastic-workbench-cv-analyzer-1,0.3376785714285715,"{'throughput': 1.0, 'avg_p_latency': 739.4166666666666, 'data_quality': 320.0, 'cores': 5.57, 'model_size': 3.0, 'completion_rate': 0.01}",298
1,2025-06-28 17:03:21.027727,elastic-workbench-pc-visualizer-1,1.0,"{'throughput': 46.666666666666664, 'avg_p_latency': 20.5, 'data_quality': 55.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.4666666666666666}",298
1,2025-06-28 17:03:30.906830,elastic-workbench-qr-detector-1,0.8455458180155464,"{'throughput': 70.83333333333333, 'avg_p_latency': 13.75, 'data_quality': 472.0, 'cores': 1.0, 'completion_rate': 0.7083333333333333}",991
