timestamp,service_type,container_id,avg_p_latency,s_config,cores,rps,throughput,cooldown
2025-06-30 08:53:04.305342,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,46,"{'data_quality': 700, 'parallelism': 1}",2.67,-1,61,-1
2025-06-30 08:53:04.309071,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,678,"{'data_quality': 256, 'model_size': 3, 'parallelism': 1}",2.67,-1,0,-1
2025-06-30 08:53:04.313097,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,19,"{'data_quality': 30, 'model_size': 1, 'parallelism': 1}",2.67,-1,48,-1
2025-06-30 08:53:14.305585,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,66,"{'data_quality': 994, 'parallelism': 1}",4.0,-1,57,-1
2025-06-30 08:53:14.308964,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,166,"{'data_quality': 275, 'model_size': 2, 'parallelism': 1}",1.0,-1,0,-1
2025-06-30 08:53:14.313089,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,19,"{'data_quality': 40, 'model_size': 1, 'parallelism': 1}",1.0,-1,49,-1
2025-06-30 08:53:24.304030,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,13,"{'data_quality': 442, 'parallelism': 1}",6.0,-1,80,-1
2025-06-30 08:53:24.307232,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 177, 'model_size': 4, 'parallelism': 1}",1.0,-1,0,-1
2025-06-30 08:53:24.311129,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,19,"{'data_quality': 51, 'model_size': 1, 'parallelism': 1}",2.0,-1,50,-1
2025-06-30 08:53:34.304708,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,19,"{'data_quality': 488, 'parallelism': 1}",2.0,-1,80,-1
2025-06-30 08:53:34.307457,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 210, 'model_size': 4, 'parallelism': 1}",2.0,-1,0,-1
2025-06-30 08:53:34.310172,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,16,"{'data_quality': 7, 'model_size': 1, 'parallelism': 1}",5.0,-1,55,-1
2025-06-30 08:53:44.305557,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,47,"{'data_quality': 753, 'parallelism': 1}",1.0,-1,20,-1
2025-06-30 08:53:44.308353,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,315,"{'data_quality': 144, 'model_size': 4, 'parallelism': 1}",4.0,-1,2,-1
2025-06-30 08:53:44.311073,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 51, 'model_size': 1, 'parallelism': 1}",2.0,-1,47,-1
2025-06-30 08:53:54.306148,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,3,"{'data_quality': 192, 'parallelism': 1}",1.0,-1,80,-1
2025-06-30 08:53:54.308715,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,183,"{'data_quality': 175, 'model_size': 2, 'parallelism': 1}",3.0,-1,5,-1
2025-06-30 08:53:54.314249,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,18,"{'data_quality': 20, 'model_size': 1, 'parallelism': 1}",1.0,-1,50,-1
2025-06-30 08:54:04.306496,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,10,"{'data_quality': 362, 'parallelism': 1}",3.0,-1,80,-1
