timestamp,service_type,container_id,avg_p_latency,s_config,cores,rps,throughput,cooldown
2025-07-02 01:02:34.315011,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,26,"{'data_quality': 550, 'parallelism': 1}",2.67,-1,80,-1
2025-07-02 01:02:34.358548,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,465,"{'data_quality': 224, 'model_size': 3, 'parallelism': 1}",2.67,-1,0,-1
2025-07-02 01:02:34.412286,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 30, 'model_size': 1, 'parallelism': 1}",2.67,-1,48,-1
2025-07-02 01:02:44.244392,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,17,"{'data_quality': 465, 'parallelism': 1}",3.05,-1,80,-1
2025-07-02 01:02:44.293244,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,447,"{'data_quality': 234, 'model_size': 3, 'parallelism': 1}",2.47,-1,0,-1
2025-07-02 01:02:44.342595,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 40, 'model_size': 1, 'parallelism': 1}",2.42,-1,48,-1
2025-07-02 01:02:54.241532,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,14,"{'data_quality': 428, 'parallelism': 1}",2.95,-1,80,-1
2025-07-02 01:02:54.293388,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,117,"{'data_quality': 198, 'model_size': 4, 'parallelism': 1}",2.62,-1,0,-1
2025-07-02 01:02:54.339032,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,19,"{'data_quality': 39, 'model_size': 1, 'parallelism': 1}",2.49,-1,47,-1
2025-07-02 01:03:04.244141,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,13,"{'data_quality': 400, 'parallelism': 1}",2.78,-1,80,-1
2025-07-02 01:03:04.290274,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,680,"{'data_quality': 164, 'model_size': 4, 'parallelism': 1}",2.86,-1,1,-1
2025-07-02 01:03:04.336843,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 55, 'model_size': 1, 'parallelism': 1}",2.31,-1,46,-1
2025-07-02 01:03:14.249526,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,12,"{'data_quality': 415, 'parallelism': 1}",2.34,-1,80,-1
2025-07-02 01:03:14.299801,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,601,"{'data_quality': 167, 'model_size': 3, 'parallelism': 1}",3.09,-1,1,-1
2025-07-02 01:03:14.346382,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 51, 'model_size': 1, 'parallelism': 1}",2.08,-1,46,-1
2025-07-02 01:03:24.239799,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,9,"{'data_quality': 351, 'parallelism': 1}",3.69,-1,80,-1
2025-07-02 01:03:24.291836,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,376,"{'data_quality': 176, 'model_size': 2, 'parallelism': 1}",1.0,-1,0,-1
2025-07-02 01:03:24.338052,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 49, 'model_size': 1, 'parallelism': 1}",3.7,-1,48,-1
2025-07-02 01:03:34.244360,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,9,"{'data_quality': 334, 'parallelism': 1}",2.93,-1,80,-1
2025-07-02 01:03:34.296786,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,352,"{'data_quality': 200, 'model_size': 2, 'parallelism': 1}",1.0,-1,0,-1
2025-07-02 01:03:34.345560,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,19,"{'data_quality': 51, 'model_size': 1, 'parallelism': 1}",3.61,-1,49,-1
2025-07-02 01:03:44.241430,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,8,"{'data_quality': 306, 'parallelism': 1}",3.17,-1,80,-1
2025-07-02 01:03:44.294547,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,507,"{'data_quality': 238, 'model_size': 2, 'parallelism': 1}",1.27,-1,0,-1
2025-07-02 01:03:44.340462,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,19,"{'data_quality': 41, 'model_size': 1, 'parallelism': 1}",2.69,-1,49,-1
2025-07-02 01:03:54.241988,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,11,"{'data_quality': 382, 'parallelism': 1}",4.84,-1,80,-1
2025-07-02 01:03:54.292758,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 299, 'model_size': 3, 'parallelism': 1}",1.19,-1,0,-1
2025-07-02 01:03:54.345810,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 48, 'model_size': 1, 'parallelism': 1}",2.1,-1,46,-1
2025-07-02 01:04:04.242859,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,13,"{'data_quality': 397, 'parallelism': 1}",2.95,-1,80,-1
2025-07-02 01:04:04.293269,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,-1,"{'data_quality': 281, 'model_size': 2, 'parallelism': 1}",1.07,-1,0,-1
2025-07-02 01:04:04.345843,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 55, 'model_size': 1, 'parallelism': 1}",3.47,-1,47,-1
2025-07-02 01:04:14.242920,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,11,"{'data_quality': 374, 'parallelism': 1}",2.96,-1,80,-1
2025-07-02 01:04:14.290922,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,488,"{'data_quality': 320, 'model_size': 1, 'parallelism': 1}",1.48,-1,1,-1
2025-07-02 01:04:14.339797,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,19,"{'data_quality': 49, 'model_size': 1, 'parallelism': 1}",3.37,-1,48,-1
2025-07-02 01:04:24.250461,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,15,"{'data_quality': 384, 'parallelism': 1}",1.58,-1,80,-1
2025-07-02 01:04:24.301373,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,454,"{'data_quality': 320, 'model_size': 3, 'parallelism': 1}",4.3,-1,0,-1
2025-07-02 01:04:24.353539,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 48, 'model_size': 1, 'parallelism': 1}",2.57,-1,46,-1
2025-07-02 01:04:34.247130,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,14,"{'data_quality': 382, 'parallelism': 1}",1.76,-1,80,-1
