rep,timestamp,service,slo_f,state,last_iteration_length
1,2025-07-04 11:00:40.707627,elastic-workbench-qr-detector-1,0.9120013020833334,"{'throughput': 74.0, 'avg_p_latency': 29.692307692307693, 'data_quality': 550.0, 'cores': 2.67, 'completion_rate': 0.925}",-1
1,2025-07-04 11:00:40.717361,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.15384615384615385, 'avg_p_latency': 137.6153846153846, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 3.0, 'completion_rate': 0.03076923076923077}",-1
1,2025-07-04 11:00:40.727681,elastic-workbench-pc-visualizer-1,0.9413475730541648,"{'throughput': 47.07692307692308, 'avg_p_latency': 21.0, 'data_quality': 30.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9415384615384617}",-1
1,2025-07-04 11:00:50.708665,elastic-workbench-qr-detector-1,0.96923828125,"{'throughput': 50.0, 'avg_p_latency': 38.53846153846154, 'data_quality': 650.0, 'cores': 2.67, 'completion_rate': 1.0}",31
1,2025-07-04 11:00:50.715868,elastic-workbench-cv-analyzer-1,0.5466639836571899,"{'throughput': 2.3076923076923075, 'avg_p_latency': 394.0, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 2.0, 'completion_rate': 0.4615384615384615}",31
1,2025-07-04 11:00:50.722489,elastic-workbench-pc-visualizer-1,0.9878826666666667,"{'throughput': 46.0, 'avg_p_latency': 21.76923076923077, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.92}",31
1,2025-07-04 11:01:00.703952,elastic-workbench-qr-detector-1,0.9962565104166666,"{'throughput': 47.0, 'avg_p_latency': 53.38461538461539, 'data_quality': 750.0, 'cores': 2.67, 'completion_rate': 1.0}",24
1,2025-07-04 11:01:00.711161,elastic-workbench-cv-analyzer-1,0.6559237004908712,"{'throughput': 3.1538461538461537, 'avg_p_latency': 284.7692307692308, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.6307692307692307}",24
1,2025-07-04 11:01:00.718850,elastic-workbench-pc-visualizer-1,0.9912490802609618,"{'throughput': 46.61538461538461, 'avg_p_latency': 21.153846153846153, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9323076923076923}",24
1,2025-07-04 11:01:10.708840,elastic-workbench-qr-detector-1,1.0,"{'throughput': 47.0, 'avg_p_latency': 60.07692307692308, 'data_quality': 850.0, 'cores': 2.67, 'completion_rate': 1.0}",20
1,2025-07-04 11:01:10.717761,elastic-workbench-cv-analyzer-1,0.67114185511731,"{'throughput': 3.230769230769231, 'avg_p_latency': 286.7692307692308, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.6461538461538462}",20
1,2025-07-04 11:01:10.727256,elastic-workbench-pc-visualizer-1,0.994409346077985,"{'throughput': 47.30769230769231, 'avg_p_latency': 20.53846153846154, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9461538461538461}",20
1,2025-07-04 11:01:20.706278,elastic-workbench-qr-detector-1,0.9681695578838058,"{'throughput': 39.92307692307692, 'avg_p_latency': 73.0, 'data_quality': 950.0, 'cores': 2.67, 'completion_rate': 0.8678929765886287}",28
1,2025-07-04 11:01:20.717912,elastic-workbench-cv-analyzer-1,0.7287372774464599,"{'throughput': 3.5384615384615383, 'avg_p_latency': 262.7692307692308, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.7076923076923076}",28
1,2025-07-04 11:01:20.730143,elastic-workbench-pc-visualizer-1,0.9958707328174784,"{'throughput': 47.69230769230769, 'avg_p_latency': 20.76923076923077, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9538461538461539}",28
1,2025-07-04 11:01:30.710229,elastic-workbench-qr-detector-1,0.9308760306792516,"{'throughput': 37.61538461538461, 'avg_p_latency': 76.07692307692308, 'data_quality': 1000.0, 'cores': 2.67, 'completion_rate': 0.8003273322422259}",30
1,2025-07-04 11:01:30.722839,elastic-workbench-cv-analyzer-1,0.6404402490310884,"{'throughput': 3.076923076923077, 'avg_p_latency': 282.61538461538464, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.6153846153846154}",30
1,2025-07-04 11:01:30.739125,elastic-workbench-pc-visualizer-1,0.9963953366712183,"{'throughput': 47.84615384615385, 'avg_p_latency': 20.692307692307693, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.956923076923077}",30
1,2025-07-04 11:01:40.707009,elastic-workbench-qr-detector-1,0.9365536490186881,"{'throughput': 37.23076923076923, 'avg_p_latency': 77.15384615384616, 'data_quality': 1000.0, 'cores': 2.67, 'completion_rate': 0.8093645484949833}",38
1,2025-07-04 11:01:40.717357,elastic-workbench-cv-analyzer-1,0.6860635015182462,"{'throughput': 3.3076923076923075, 'avg_p_latency': 271.53846153846155, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.6615384615384615}",38
1,2025-07-04 11:01:40.728420,elastic-workbench-pc-visualizer-1,0.9896304269458351,"{'throughput': 46.30769230769231, 'avg_p_latency': 21.46153846153846, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9261538461538461}",38
1,2025-07-04 11:01:50.707996,elastic-workbench-qr-detector-1,0.926640211531538,"{'throughput': 37.30769230769231, 'avg_p_latency': 78.61538461538461, 'data_quality': 1000.0, 'cores': 2.67, 'completion_rate': 0.7937806873977087}",29
1,2025-07-04 11:01:50.720978,elastic-workbench-cv-analyzer-1,0.6559237004908712,"{'throughput': 3.1538461538461537, 'avg_p_latency': 280.3076923076923, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.6307692307692307}",29
