rep,timestamp,service,slo_f,state,last_iteration_length
1,2025-07-03 11:03:23.130025,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 37.0, 'avg_p_latency': 23.692307692307693, 'data_quality': 550.0, 'cores': 2.67, 'completion_rate': 1.0}",-1
1,2025-07-03 11:03:23.136673,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.8461538461538461, 'avg_p_latency': 721.1538461538462, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 3.0, 'completion_rate': 0.21153846153846154}",-1
1,2025-07-03 11:03:23.142695,elastic-workbench-pc-visualizer-1,0.9476161939007738,"{'throughput': 49.38461538461539, 'avg_p_latency': 20.153846153846153, 'data_quality': 30.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9876923076923078}",-1
1,2025-07-03 11:03:33.129295,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 42.0, 'avg_p_latency': 20.46153846153846, 'data_quality': 550.0, 'cores': 2.42, 'completion_rate': 1.0}",31
1,2025-07-03 11:03:33.139478,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.8461538461538461, 'avg_p_latency': 741.0769230769231, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 3.0, 'completion_rate': 0.21153846153846154}",31
1,2025-07-03 11:03:33.148343,elastic-workbench-pc-visualizer-1,0.9470021784251251,"{'throughput': 48.92307692307692, 'avg_p_latency': 20.307692307692307, 'data_quality': 30.0, 'cores': 2.42, 'model_size': 1.0, 'completion_rate': 0.9784615384615384}",31
1,2025-07-03 11:03:43.124020,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 41.0, 'avg_p_latency': 22.0, 'data_quality': 550.0, 'cores': 2.17, 'completion_rate': 1.0}",34
1,2025-07-03 11:03:43.138148,elastic-workbench-cv-analyzer-1,0.0,"{'throughput': 0.8461538461538461, 'avg_p_latency': 774.6153846153846, 'data_quality': 224.0, 'cores': 2.92, 'model_size': 3.0, 'completion_rate': 0.21153846153846154}",34
1,2025-07-03 11:03:43.146490,elastic-workbench-pc-visualizer-1,0.942635302382036,"{'throughput': 47.38461538461539, 'avg_p_latency': 21.0, 'data_quality': 30.0, 'cores': 2.17, 'model_size': 1.0, 'completion_rate': 0.9476923076923077}",34
1,2025-07-03 11:03:53.127140,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 40.0, 'avg_p_latency': 23.76923076923077, 'data_quality': 550.0, 'cores': 1.92, 'completion_rate': 1.0}",29
