timestamp,service_type,container_id,avg_p_latency,s_config,cores,rps,throughput,cooldown
2025-07-03 08:37:17.994390,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,26,"{'data_quality': 550, 'parallelism': 1}",2.67,-1,40,-1
2025-07-03 08:37:17.998084,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,475,"{'data_quality': 224, 'model_size': 3, 'parallelism': 1}",2.67,-1,1,-1
2025-07-03 08:37:18.004808,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 30, 'model_size': 1, 'parallelism': 1}",2.67,-1,47,-1
2025-07-03 08:37:27.990156,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,28,"{'data_quality': 551, 'parallelism': 1}",1.71,-1,50,-1
2025-07-03 08:37:27.994276,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,189,"{'data_quality': 224, 'model_size': 2, 'parallelism': 1}",5.29,-1,4,-1
2025-07-03 08:37:28.001577,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 40, 'model_size': 1, 'parallelism': 1}",1.0,-1,46,-1
2025-07-03 08:37:37.990999,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,26,"{'data_quality': 551, 'parallelism': 1}",1.82,-1,47,-1
2025-07-03 08:37:37.997302,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,220,"{'data_quality': 224, 'model_size': 2, 'parallelism': 1}",5.18,-1,4,-1
2025-07-03 08:37:38.001417,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 40, 'model_size': 1, 'parallelism': 1}",1.0,-1,48,-1
2025-07-03 08:37:47.991525,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,26,"{'data_quality': 551, 'parallelism': 1}",1.79,-1,47,-1
2025-07-03 08:37:47.997637,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,214,"{'data_quality': 224, 'model_size': 2, 'parallelism': 1}",5.21,-1,4,-1
2025-07-03 08:37:48.001170,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 40, 'model_size': 1, 'parallelism': 1}",1.0,-1,47,-1
2025-07-03 08:37:57.996437,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,25,"{'data_quality': 551, 'parallelism': 1}",1.79,-1,46,-1
2025-07-03 08:37:57.999404,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,229,"{'data_quality': 224, 'model_size': 2, 'parallelism': 1}",5.21,-1,4,-1
2025-07-03 08:37:58.002227,elastic-workbench-pc-visualizer,elastic-workbench-pc-visualizer-1,20,"{'data_quality': 40, 'model_size': 1, 'parallelism': 1}",1.0,-1,47,-1
2025-07-03 08:38:07.997436,elastic-workbench-qr-detector,elastic-workbench-qr-detector-1,26,"{'data_quality': 551, 'parallelism': 1}",1.76,-1,47,-1
2025-07-03 08:38:08.001471,elastic-workbench-cv-analyzer,elastic-workbench-cv-analyzer-1,173,"{'data_quality': 224, 'model_size': 2, 'parallelism': 1}",5.24,-1,4,-1
