rep,timestamp,service,slo_f,state,last_iteration_length
1,2025-07-05 08:18:39.103772,elastic-workbench-qr-detector-1,0.89404296875,"{'throughput': 70.0, 'avg_p_latency': 26.76923076923077, 'data_quality': 550.0, 'cores': 2.67, 'completion_rate': 0.875}",-1
1,2025-07-05 08:18:39.112654,elastic-workbench-cv-analyzer-1,0.34197138937879684,"{'throughput': 1.0, 'avg_p_latency': 622.9230769230769, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 3.0, 'completion_rate': 0.2}",-1
1,2025-07-05 08:18:39.125655,elastic-workbench-pc-visualizer-1,0.9429361150053103,"{'throughput': 47.46153846153846, 'avg_p_latency': 20.76923076923077, 'data_quality': 30.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9492307692307692}",-1
1,2025-07-05 08:18:59.100551,elastic-workbench-qr-detector-1,0.9962565104166666,"{'throughput': 41.0, 'avg_p_latency': 50.92307692307692, 'data_quality': 750.0, 'cores': 2.67, 'completion_rate': 1.0}",26
1,2025-07-05 08:18:49.110061,elastic-workbench-cv-analyzer-1,0.6493303631356995,"{'throughput': 2.230769230769231, 'avg_p_latency': 393.9230769230769, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 2.0, 'completion_rate': 0.5576923076923077}",32
1,2025-07-05 08:18:49.120738,elastic-workbench-pc-visualizer-1,0.9874257721134881,"{'throughput': 45.92307692307692, 'avg_p_latency': 21.384615384615383, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9184615384615384}",32
1,2025-07-05 08:18:59.100551,elastic-workbench-qr-detector-1,0.9962565104166666,"{'throughput': 41.0, 'avg_p_latency': 50.92307692307692, 'data_quality': 750.0, 'cores': 2.67, 'completion_rate': 1.0}",26
1,2025-07-05 08:18:59.111075,elastic-workbench-cv-analyzer-1,0.876151283558691,"{'throughput': 4.0, 'avg_p_latency': 211.16666666666666, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 1.0}",26
1,2025-07-05 08:18:59.124426,elastic-workbench-pc-visualizer-1,0.9855192498862083,"{'throughput': 45.61538461538461, 'avg_p_latency': 21.692307692307693, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9123076923076923}",26
1,2025-07-05 08:19:09.101553,elastic-workbench-qr-detector-1,1.0,"{'throughput': 40.0, 'avg_p_latency': 60.30769230769231, 'data_quality': 850.0, 'cores': 2.67, 'completion_rate': 1.0}",29
1,2025-07-05 08:19:09.107367,elastic-workbench-cv-analyzer-1,0.7795910390694525,"{'throughput': 3.076923076923077, 'avg_p_latency': 282.0, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.7692307692307693}",29
1,2025-07-05 08:19:09.113417,elastic-workbench-pc-visualizer-1,0.992736762251555,"{'throughput': 46.92307692307692, 'avg_p_latency': 21.0, 'data_quality': 60.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9384615384615383}",29
1,2025-07-05 08:19:19.101853,elastic-workbench-qr-detector-1,0.9988295778258198,"{'throughput': 40.0, 'avg_p_latency': 71.84615384615384, 'data_quality': 950.0, 'cores': 2.67, 'completion_rate': 0.975609756097561}",21
1,2025-07-05 08:19:19.107890,elastic-workbench-cv-analyzer-1,0.8408047883379354,"{'throughput': 3.4615384615384617, 'avg_p_latency': 252.6153846153846, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.8653846153846154}",21
