rep,timestamp,service,slo_f,state,last_iteration_length
1,2025-07-07 07:22:46.351812,elastic-workbench-qr-detector-1,0.8821888020833333,"{'throughput': 68.0, 'avg_p_latency': 24.0, 'data_quality': 550.0, 'cores': 2.67, 'completion_rate': 0.85}",-1
1,2025-07-07 07:22:46.356300,elastic-workbench-cv-analyzer-1,0.4577734571335273,"{'throughput': 1.6923076923076923, 'avg_p_latency': 513.9230769230769, 'data_quality': 224.0, 'cores': 2.67, 'model_size': 3.0, 'completion_rate': 0.3384615384615385}",-1
1,2025-07-07 07:22:46.360028,elastic-workbench-pc-visualizer-1,0.942635302382036,"{'throughput': 47.38461538461539, 'avg_p_latency': 21.0, 'data_quality': 30.0, 'cores': 2.67, 'model_size': 1.0, 'completion_rate': 0.9476923076923077}",-1
1,2025-07-07 07:22:56.352875,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 50.0, 'avg_p_latency': 23.76923076923077, 'data_quality': 550.0, 'cores': 2.1, 'completion_rate': 1.0}",115
1,2025-07-07 07:22:56.356170,elastic-workbench-cv-analyzer-1,0.4150996812053135,"{'throughput': 1.4615384615384615, 'avg_p_latency': 341.38461538461536, 'data_quality': 224.0, 'cores': 4.9, 'model_size': 3.0, 'completion_rate': 0.29230769230769227}",115
1,2025-07-07 07:22:56.359827,elastic-workbench-pc-visualizer-1,0.9437873994841451,"{'throughput': 47.69230769230769, 'avg_p_latency': 20.76923076923077, 'data_quality': 30.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.9538461538461539}",115
1,2025-07-07 07:23:06.349428,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 47.0, 'avg_p_latency': 28.076923076923077, 'data_quality': 550.0, 'cores': 1.82, 'completion_rate': 1.0}",178
1,2025-07-07 07:23:06.356732,elastic-workbench-cv-analyzer-1,0.4577734571335273,"{'throughput': 1.6923076923076923, 'avg_p_latency': 435.3076923076923, 'data_quality': 224.0, 'cores': 5.18, 'model_size': 3.0, 'completion_rate': 0.3384615384615385}",178
1,2025-07-07 07:23:06.361255,elastic-workbench-pc-visualizer-1,0.9379639335457443,"{'throughput': 46.38461538461539, 'avg_p_latency': 21.384615384615383, 'data_quality': 30.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.9276923076923077}",178
1,2025-07-07 07:23:16.359220,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 47.0, 'avg_p_latency': 27.53846153846154, 'data_quality': 550.0, 'cores': 1.79, 'completion_rate': 1.0}",167
1,2025-07-07 07:23:16.362508,elastic-workbench-cv-analyzer-1,0.5673592559500954,"{'throughput': 2.230769230769231, 'avg_p_latency': 404.0769230769231, 'data_quality': 224.0, 'cores': 5.21, 'model_size': 3.0, 'completion_rate': 0.4461538461538462}",167
1,2025-07-07 07:23:16.365185,elastic-workbench-pc-visualizer-1,0.9357993333333333,"{'throughput': 46.0, 'avg_p_latency': 21.307692307692307, 'data_quality': 30.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.92}",167
1,2025-07-07 07:23:26.354945,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 46.0, 'avg_p_latency': 26.692307692307693, 'data_quality': 550.0, 'cores': 1.78, 'completion_rate': 1.0}",109
1,2025-07-07 07:23:26.358793,elastic-workbench-cv-analyzer-1,0.5673592559500954,"{'throughput': 2.230769230769231, 'avg_p_latency': 385.46153846153845, 'data_quality': 224.0, 'cores': 5.22, 'model_size': 3.0, 'completion_rate': 0.4461538461538462}",109
1,2025-07-07 07:23:26.363923,elastic-workbench-pc-visualizer-1,0.9416821189500834,"{'throughput': 47.15384615384615, 'avg_p_latency': 20.923076923076923, 'data_quality': 30.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.943076923076923}",109
1,2025-07-07 07:23:36.354241,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 47.0, 'avg_p_latency': 28.23076923076923, 'data_quality': 550.0, 'cores': 1.77, 'completion_rate': 1.0}",118
1,2025-07-07 07:23:36.358609,elastic-workbench-cv-analyzer-1,0.5511267310785172,"{'throughput': 2.1538461538461537, 'avg_p_latency': 365.9230769230769, 'data_quality': 224.0, 'cores': 5.23, 'model_size': 3.0, 'completion_rate': 0.43076923076923074}",118
1,2025-07-07 07:23:36.361734,elastic-workbench-pc-visualizer-1,0.9357993333333333,"{'throughput': 46.0, 'avg_p_latency': 21.46153846153846, 'data_quality': 30.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.92}",118
1,2025-07-07 07:23:46.358282,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 46.0, 'avg_p_latency': 28.307692307692307, 'data_quality': 550.0, 'cores': 1.77, 'completion_rate': 1.0}",110
1,2025-07-07 07:23:46.362605,elastic-workbench-cv-analyzer-1,0.4016761816279678,"{'throughput': 1.3846153846153846, 'avg_p_latency': 475.0, 'data_quality': 224.0, 'cores': 5.23, 'model_size': 3.0, 'completion_rate': 0.27692307692307694}",110
1,2025-07-07 07:23:46.365316,elastic-workbench-pc-visualizer-1,0.9423260127446517,"{'throughput': 47.30769230769231, 'avg_p_latency': 20.692307692307693, 'data_quality': 30.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.9461538461538461}",110
1,2025-07-07 07:23:56.354665,elastic-workbench-qr-detector-1,0.9226888020833334,"{'throughput': 47.0, 'avg_p_latency': 28.692307692307693, 'data_quality': 550.0, 'cores': 1.75, 'completion_rate': 1.0}",115
1,2025-07-07 07:23:56.357544,elastic-workbench-cv-analyzer-1,0.4289445345767941,"{'throughput': 1.5384615384615385, 'avg_p_latency': 328.0, 'data_quality': 224.0, 'cores': 5.25, 'model_size': 3.0, 'completion_rate': 0.3076923076923077}",115
1,2025-07-07 07:23:56.360341,elastic-workbench-pc-visualizer-1,0.9475367740858746,"{'throughput': 49.30769230769231, 'avg_p_latency': 19.46153846153846, 'data_quality': 30.0, 'cores': 1.0, 'model_size': 1.0, 'completion_rate': 0.9861538461538462}",115
