fps,pixel,cores
50.1,800.0,2.0
44.8,800.0,2.0
43.65,800.0,2.0
43.15,800.0,2.0
43.75,800.0,2.0
44.85,800.0,2.0
46.1,800.0,2.0
46.9,800.0,2.0
47.55,800.0,2.0
48.4,800.0,2.0
49.2,800.0,2.0
49.15,800.0,2.0
48.8,800.0,2.0
48.8,800.0,2.0
48.95,800.0,2.0
48.25,800.0,2.0
47.05,800.0,2.0
46.8,800.0,2.0
47.1,800.0,2.0
47.85,800.0,2.0
48.85,800.0,2.0
49.65,800.0,2.0
50.15,800.0,2.0
50.15,800.0,2.0
49.95,800.0,2.0
49.75,800.0,2.0
50.1,800.0,2.0
50.45,800.0,2.0
50.75,800.0,2.0
50.75,800.0,2.0
50.55,800.0,2.0
50.75,800.0,2.0
51.15,800.0,2.0
51.1,800.0,2.0
50.85,800.0,2.0
51.4,800.0,2.0
52.55,800.0,2.0
53.05,800.0,2.0
53.3,800.0,2.0
53.1,800.0,2.0
52.4,800.0,2.0
51.95,800.0,2.0
51.8,800.0,2.0
51.8,800.0,2.0
51.4,800.0,2.0
50.8,800.0,2.0
47.0,800.0,2.0
47.75,800.0,2.0
48.6,800.0,2.0
49.45,800.0,2.0
49.5,800.0,2.0
49.25,800.0,2.0
49.4,800.0,2.0
49.4,800.0,2.0
49.75,800.0,2.0
49.85,800.0,2.0
49.8,800.0,2.0
50.0,800.0,2.0
50.55,800.0,2.0
50.9,800.0,2.0
51.3,800.0,2.0
51.9,800.0,2.0
52.7,800.0,2.0
52.7,800.0,2.0
52.2,800.0,2.0
51.8,800.0,2.0
51.75,800.0,2.0
51.55,800.0,2.0
51.1,800.0,2.0
50.35,800.0,2.0
50.25,800.0,2.0
50.6,800.0,2.0
50.85,800.0,2.0
51.25,800.0,2.0
51.15,800.0,2.0
50.9,800.0,2.0
50.15,800.0,2.0
49.75,800.0,2.0
49.5,800.0,2.0
49.4,800.0,2.0
49.3,800.0,2.0
49.15,800.0,2.0
48.578947368421055,800.0,2.0
48.3,800.0,2.0
48.31578947368421,800.0,2.0
48.36842105263158,800.0,2.0
49.0,800.0,2.0
50.15,800.0,2.0
50.55,800.0,2.0
50.65,800.0,2.0
50.36842105263158,800.0,2.0
50.75,800.0,2.0
50.75,800.0,2.0
50.9,800.0,2.0
51.55,800.0,2.0
52.65,800.0,2.0
53.2,800.0,2.0
53.35,800.0,2.0
53.5,800.0,2.0
53.6,800.0,2.0
53.95,800.0,2.0
54.3,800.0,2.0
54.5,800.0,2.0
54.55,800.0,2.0
54.55,800.0,2.0
54.15,800.0,2.0
53.4,800.0,2.0
53.0,800.0,2.0
52.65,800.0,2.0
52.3,800.0,2.0
52.2,800.0,2.0
52.15,800.0,2.0
52.0,800.0,2.0
51.85,800.0,2.0
51.85,800.0,2.0
51.95,800.0,2.0
52.2,800.0,2.0
52.45,800.0,2.0
52.45,800.0,2.0
52.05,800.0,2.0
52.05,800.0,2.0
52.3,800.0,2.0
52.6,800.0,2.0
52.8,800.0,2.0
53.15,800.0,2.0
53.55,800.0,2.0
53.95,800.0,2.0
54.35,800.0,2.0
54.8,800.0,2.0
55.55,800.0,2.0
56.2,800.0,2.0
56.65,800.0,2.0
56.8,800.0,2.0
56.65,800.0,2.0
56.65,800.0,2.0
56.65,800.0,2.0
56.8,800.0,2.0
56.8,800.0,2.0
56.5,800.0,2.0
56.5,800.0,2.0
56.3,800.0,2.0
55.9,800.0,2.0
55.85,800.0,2.0
55.7,800.0,2.0
55.4,800.0,2.0
55.4,800.0,2.0
55.4,800.0,2.0
55.26315789473684,800.0,2.0
54.8421052631579,800.0,2.0
54.21052631578947,800.0,2.0
54.05263157894737,800.0,2.0
54.36842105263158,800.0,2.0
54.68421052631579,800.0,2.0
54.68421052631579,800.0,2.0
54.75,800.0,2.0
54.6,800.0,2.0
54.55,800.0,2.0
54.85,800.0,2.0
55.3,800.0,2.0
55.473684210526315,800.0,2.0
55.6,800.0,2.0
55.73684210526316,800.0,2.0
56.4,800.0,2.0
57.15,800.0,2.0
57.5,800.0,2.0
57.5,800.0,2.0
57.5,800.0,2.0
57.5,800.0,2.0
57.5,800.0,2.0
57.2,800.0,2.0
57.0,800.0,2.0
57.15,800.0,2.0
57.3,800.0,2.0
57.45,800.0,2.0
57.5,800.0,2.0
57.7,800.0,2.0
57.8,800.0,2.0
57.8,800.0,2.0
57.6,800.0,2.0
57.55,800.0,2.0
57.55,800.0,2.0
57.55,800.0,2.0
57.3,800.0,2.0
56.9,800.0,2.0
56.35,800.0,2.0
55.95,800.0,2.0
55.15,800.0,2.0
54.6,800.0,2.0
54.25,800.0,2.0
53.85,800.0,2.0
52.95,800.0,2.0
52.0,800.0,2.0
51.45,800.0,2.0
51.15,800.0,2.0
51.05,800.0,2.0
50.45,800.0,2.0
50.0,800.0,2.0
49.6,800.0,2.0
49.7,800.0,2.0
49.75,800.0,2.0
49.75,800.0,2.0
49.4,800.0,2.0
49.05,800.0,2.0
48.75,800.0,2.0
48.95,800.0,2.0
49.45,800.0,2.0
50.6,800.0,2.0
51.15,800.0,2.0
51.5,800.0,2.0
51.95,800.0,2.0
52.8,800.0,2.0
54.0,800.0,2.0
54.55,800.0,2.0
54.63157894736842,800.0,2.0
61.5,300.0,2.0
62.21052631578947,300.0,2.0
67.26315789473684,300.0,2.0
70.6842105263158,300.0,2.0
75.9,300.0,2.0
77.05263157894737,300.0,2.0
80.6842105263158,300.0,2.0
83.84210526315789,300.0,2.0
87.55,300.0,2.0
89.95,300.0,2.0
92.5,300.0,2.0
94.45,300.0,2.0
97.25,300.0,2.0
100.8,300.0,2.0
103.95,300.0,2.0
106.4,300.0,2.0
108.75,300.0,2.0
111.7,300.0,2.0
114.65,300.0,2.0
116.1,300.0,2.0
114.1,300.0,2.0
112.4,300.0,2.0
112.4,300.0,2.0
112.6,300.0,2.0
112.35,300.0,2.0
112.05,300.0,2.0
112.55,300.0,2.0
112.95,300.0,2.0
113.35,300.0,2.0
113.6,300.0,2.0
113.75,300.0,2.0
114.65,300.0,2.0
114.65,300.0,2.0
113.95,300.0,2.0
113.6,300.0,2.0
113.6,300.0,2.0
114.6,300.0,2.0
116.65,300.0,2.0
118.6,300.0,2.0
119.85,300.0,2.0
120.3,300.0,2.0
120.7,300.0,2.0
120.35,300.0,2.0
120.05,300.0,2.0
119.75,500.0,2.0
118.6,500.0,2.0
116.65,500.0,2.0
115.05,500.0,2.0
113.5,500.0,2.0
112.45,500.0,2.0
111.1,500.0,2.0
109.25,500.0,2.0
107.65,500.0,2.0
106.0,500.0,2.0
104.45,500.0,2.0
103.55,500.0,2.0
101.3,500.0,2.0
97.6,500.0,2.0
94.35,500.0,2.0
91.65,500.0,2.0
90.0,500.0,2.0
88.5,500.0,2.0
86.65,500.0,2.0
85.05,500.0,2.0
83.7,500.0,2.0
82.85,500.0,2.0
82.85,500.0,2.0
83.1,500.0,2.0
83.05,500.0,2.0
82.35,500.0,2.0
82.05,500.0,2.0
81.9,500.0,2.0
81.95,500.0,2.0
81.15,500.0,2.0
77.1,500.0,2.0
76.63157894736842,500.0,2.0
74.6842105263158,500.0,2.0
72.45,500.0,2.0
71.7,500.0,2.0
70.85,500.0,2.0
70.05,500.0,2.0
69.73684210526316,500.0,2.0
69.25,500.0,2.0
67.6,500.0,2.0
66.05,500.0,2.0
64.65,500.0,2.0
63.7,500.0,2.0
