id,timestamp,pixel,pixel_thresh,fps,fps_thresh,energy,cores,free_cores
1_1,2024-11-29 19:52:49.088538,1400.0,600,43.666666666666664,27,0.0,8.0,2.0
1_1,2024-11-29 19:52:54.355956,1400.0,600,32.5,27,0.0,7.0,3.0
1_1,2024-11-29 19:52:59.644246,1400.0,600,28.333333333333332,27,0.0,6.0,4.0
1_1,2024-11-29 19:53:04.681200,1300.0,600,31.75,27,0.0,6.0,4.0
1_1,2024-11-29 19:53:09.697468,1200.0,600,37.25,27,0.0,6.0,4.0
1_1,2024-11-29 19:53:14.736593,1100.0,600,38.25,27,0.0,6.0,4.0
1_1,2024-11-29 19:53:19.804883,1000.0,600,46.5,27,0.0,6.0,4.0
1_1,2024-11-29 19:53:24.833085,900.0,600,52.5,27,0.0,6.0,4.0
1_1,2024-11-29 19:53:30.088270,900.0,600,42.666666666666664,27,0.0,5.0,5.0
1_1,2024-11-29 19:53:35.114126,800.0,600,55.0,27,0.0,5.0,5.0
2_1,2024-11-29 19:53:39.322221,800.0,1000,40.25,29,0.0,4.0,6.0
2_1,2024-11-29 19:53:44.330139,600.0,1000,69.875,29,0.0,7.0,6.0
