index,rep,timestamp,pixel,pixel_thresh,fps,fps_thresh,energy,cores,free_cores
1,1,2024-12-02 19:39:15.157565,400.0,1000,24.75,35,0,1.0,4.0
1,1,2024-12-02 19:39:20.193780,500.0,1000,16.0,35,0,1.0,4.0
1,1,2024-12-02 19:39:25.217512,600.0,1000,16.0,35,0,1.0,4.0
1,1,2024-12-02 19:39:30.480679,700.0,1000,14.666666666666666,35,0,1.0,4.0
1,1,2024-12-02 19:39:35.915089,800.0,1000,16.0,35,0,1.0,4.0
1,1,2024-12-02 19:39:41.820795,900.0,1000,8.0,35,0,1.0,4.0
1,1,2024-12-02 19:39:47.204581,1000.0,1000,8.0,35,0,1.0,4.0
1,1,2024-12-02 19:39:53.336256,1100.0,1000,8.0,35,0,1.0,4.0
1,1,2024-12-02 19:39:58.907389,1200.0,1000,8.0,35,0,1.0,4.0
1,1,2024-12-02 19:40:04.930139,1300.0,1000,8.0,35,0,1.0,4.0
1,2,2024-12-02 19:40:07.706037,1300.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:13.191575,1400.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:18.404767,1500.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:24.000111,1600.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:30.439792,1700.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:36.633794,1800.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:41.685908,1900.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:48.258339,1800.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:53.501160,1900.0,1000,8.0,32,0,1.0,1.0
1,2,2024-12-02 19:40:53.501160,1900.0,1000,8.0,32,0,1.0,1.0
2,1,2024-12-02 19:41:00.769563,2000.0,800,8.0,29,0,1.0,5.0
2,1,2024-12-02 19:41:06.469964,1200.0,800,16.0,29,0,2.0,4.0
2,1,2024-12-02 19:41:12.449974,1200.0,800,16.0,29,0,3.0,3.0
2,1,2024-12-02 19:41:17.653767,1200.0,800,24.0,29,0,4.0,2.0
2,1,2024-12-02 19:41:23.225422,1200.0,800,24.0,29,0,5.0,1.0
2,1,2024-12-02 19:41:28.634091,1200.0,800,29.2,29,0,6.0,0.0
2,1,2024-12-02 19:41:33.643525,1200.0,800,31.0,29,0,6.0,0.0
2,1,2024-12-02 19:41:38.650429,1200.0,800,31.285714285714285,29,0,6.0,0.0
2,1,2024-12-02 19:41:43.659140,1200.0,800,30.95,29,0,6.0,0.0
2,1,2024-12-02 19:41:48.700687,1100.0,800,32.0,29,0,6.0,0.0
2,2,2024-12-02 19:41:51.119654,1100.0,700,32.75,35,0,6.0,4.0
2,2,2024-12-02 19:41:56.630096,1600.0,700,24.0,35,0,7.0,3.0
2,2,2024-12-02 19:42:01.688860,1700.0,700,23.8,35,0,7.0,3.0
2,2,2024-12-02 19:42:07.065372,1700.0,700,21.75,35,0,8.0,2.0
2,2,2024-12-02 19:42:12.397249,1700.0,700,24.0,35,0,9.0,1.0
2,2,2024-12-02 19:42:17.421268,1600.0,700,25.4,35,0,9.0,1.0
2,2,2024-12-02 19:42:22.774358,1600.0,700,24.0,35,0,10.0,0.0
2,2,2024-12-02 19:42:27.797781,1500.0,700,29.2,35,0,10.0,0.0
2,2,2024-12-02 19:42:32.829972,1400.0,700,32.0,35,0,10.0,0.0
2,2,2024-12-02 19:42:38.254650,1400.0,700,32.0,35,0,9.0,1.0
3,1,2024-12-02 19:42:41.307785,1400.0,1000,31.8,30,0,10.0,-9.0
3,1,2024-12-02 19:42:46.583911,1300.0,1000,8.0,30,0,1.0,-9.0
3,1,2024-12-02 19:42:51.683225,1200.0,1000,8.0,30,0,1.0,-9.0
3,1,2024-12-02 19:42:57.326078,1200.0,1000,8.0,30,0,1.0,-9.0
