index,rep,timestamp,pixel,pixel_thresh,fps,fps_thresh,energy,cores,free_cores
Alice,,2024-12-04 01:16:28.769631,1400.0,1300,16.0,30,0,2.0,4.0
Bob,,2024-12-04 01:16:28.769952,1400.0,1300,16.0,10,0,2.0,4.0
Bob,,2024-12-04 01:16:34.291950,1400.0,1300,17.5,10,0,3.0,2.0
Alice,,2024-12-04 01:16:34.461779,1400.0,1300,16.4,30,0,3.0,2.0
Bob,,2024-12-04 01:16:39.601446,1400.0,1300,23.0,10,0,4.0,1.0
Alice,,2024-12-04 01:16:39.664617,1400.0,1300,23.75,30,0,4.0,1.0
Bob,,2024-12-04 01:16:44.610795,1400.0,1300,16.0,10,0,3.0,0.0
Alice,,2024-12-04 01:16:44.670749,1400.0,1300,24.0,30,0,5.0,0.0
Bob,,2024-12-04 01:16:49.617684,1400.0,1300,15.2,10,0,2.0,0.0
Alice,,2024-12-04 01:16:49.676929,1400.0,1300,31.2,30,0,6.0,0.0
Bob,,2024-12-04 01:16:54.624933,1400.0,1300,15.6,10,0,2.0,0.0
Alice,,2024-12-04 01:16:54.683235,1400.0,1300,32.0,30,0,6.0,0.0
Bob,,2024-12-04 01:16:59.631241,1400.0,1300,8.0,10,0,1.0,0.0
Alice,,2024-12-04 01:16:59.689626,1400.0,1300,33.0,30,0,7.0,0.0
Bob,,2024-12-04 01:17:04.637771,1400.0,1300,8.0,10,0,2.0,0.0
Alice,,2024-12-04 01:17:04.696763,1400.0,1300,32.6,30,0,6.0,0.0
Bob,,2024-12-04 01:17:09.644606,1400.0,1300,16.0,10,0,2.0,0.0
Alice,,2024-12-04 01:17:09.703772,1400.0,1300,32.0,30,0,6.0,0.0
Bob,,2024-12-04 01:17:14.648760,1400.0,1300,18.333333333333332,10,0,2.0,0.0
Alice,,2024-12-04 01:17:14.708581,1400.0,1300,46.2,30,0,6.0,0.0
Bob,,2024-12-04 01:17:19.654074,1400.0,1300,19.2,10,0,2.0,0.0
Alice,,2024-12-04 01:17:19.712687,1400.0,1300,41.4,30,0,6.0,0.0
Bob,,2024-12-04 01:17:24.658516,1400.0,1300,16.25,10,0,2.0,0.0
Alice,,2024-12-04 01:17:24.718488,1400.0,1300,41.2,30,0,6.0,0.0
Bob,,2024-12-04 01:17:29.663695,1400.0,1300,19.0,10,0,2.0,0.0
Alice,,2024-12-04 01:17:29.723037,1400.0,1300,43.4,30,0,6.0,0.0
