rep,timestamp,service,slo_f,state
1,2025-05-25 16:03:35.841063,elastic-workbench-qr-detector-1,0.9052603889493333,"{'throughput': 88.92, 'avg_p_latency': 19.76, 'quality': 700.0, 'cores': 2.0, 'completion_rate': 0.8892}"
1,2025-05-25 16:03:35.846684,elastic-workbench-cv-analyzer-1,0.47200000000000014,"{'throughput': 2.0, 'avg_p_latency': 383.4, 'quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.02}"
1,2025-05-25 16:03:40.836466,elastic-workbench-qr-detector-1,0.8014313312373332,"{'throughput': 83.88, 'avg_p_latency': 27.36, 'quality': 529.0, 'cores': 6.0, 'completion_rate': 0.8388}"
1,2025-05-25 16:03:40.841104,elastic-workbench-cv-analyzer-1,0.6125722310965402,"{'throughput': 3.2, 'avg_p_latency': 377.6, 'quality': 195.0, 'cores': 2.0, 'model_size': 1.0, 'completion_rate': 0.032}"
1,2025-05-25 16:03:45.838185,elastic-workbench-qr-detector-1,0.8845121288159999,"{'throughput': 76.92, 'avg_p_latency': 33.52, 'quality': 831.0, 'cores': 2.0, 'completion_rate': 0.7692}"
1,2025-05-25 16:03:45.843696,elastic-workbench-cv-analyzer-1,0.8054804000418527,"{'throughput': 3.4, 'avg_p_latency': 189.32, 'quality': 277.0, 'cores': 2.0, 'model_size': 4.0, 'completion_rate': 0.034}"
2,2025-05-25 16:03:54.858811,elastic-workbench-qr-detector-1,0.696018168064,"{'throughput': 60.28, 'avg_p_latency': 61.84, 'quality': 700.0, 'cores': 2.0, 'completion_rate': 0.6028}"
2,2025-05-25 16:03:54.863411,elastic-workbench-cv-analyzer-1,0.022057142857142862,"{'throughput': 0.0, 'avg_p_latency': -1.0, 'quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0}"
2,2025-05-25 16:03:59.856843,elastic-workbench-qr-detector-1,0.621041008384,"{'throughput': 71.08, 'avg_p_latency': 50.16, 'quality': 340.0, 'cores': 3.0, 'completion_rate': 0.7108}"
2,2025-05-25 16:03:59.860901,elastic-workbench-cv-analyzer-1,0.019364814515345986,"{'throughput': 0.08, 'avg_p_latency': 18.84, 'quality': 317.0, 'cores': 4.0, 'model_size': 2.0, 'completion_rate': 0.0008}"
2,2025-05-25 16:04:04.858149,elastic-workbench-qr-detector-1,0.8584953876320002,"{'throughput': 76.76, 'avg_p_latency': 26.84, 'quality': 755.0, 'cores': 2.0, 'completion_rate': 0.7676000000000001}"
2,2025-05-25 16:04:04.864026,elastic-workbench-cv-analyzer-1,0.026395730540457595,"{'throughput': 0.52, 'avg_p_latency': 183.76, 'quality': 203.0, 'cores': 3.0, 'model_size': 5.0, 'completion_rate': 0.0052}"
3,2025-05-25 16:04:13.882772,elastic-workbench-qr-detector-1,0.8087592127146667,"{'throughput': 73.04, 'avg_p_latency': 37.64, 'quality': 700.0, 'cores': 2.0, 'completion_rate': 0.7304}"
3,2025-05-25 16:04:13.890809,elastic-workbench-cv-analyzer-1,0.02526840685714286,"{'throughput': 0.64, 'avg_p_latency': 295.96, 'quality': 256.0, 'cores': 2.0, 'model_size': 3.0, 'completion_rate': 0.0064}"
3,2025-05-25 16:04:18.879931,elastic-workbench-qr-detector-1,0.725383363568,"{'throughput': 80.24, 'avg_p_latency': 31.28, 'quality': 419.0, 'cores': 6.0, 'completion_rate': 0.8024}"
3,2025-05-25 16:04:18.886105,elastic-workbench-cv-analyzer-1,0.2604401230357143,"{'throughput': 1.24, 'avg_p_latency': 157.08, 'quality': 204.0, 'cores': 2.0, 'model_size': 2.0, 'completion_rate': 0.0124}"
3,2025-05-25 16:04:23.881393,elastic-workbench-qr-detector-1,0.9295476525226666,"{'throughput': 80.52, 'avg_p_latency': 38.44, 'quality': 932.0, 'cores': 4.0, 'completion_rate': 0.8051999999999999}"
3,2025-05-25 16:04:23.890448,elastic-workbench-cv-analyzer-1,0.5490062562276787,"{'throughput': 2.52, 'avg_p_latency': 218.88, 'quality': 282.0, 'cores': 3.0, 'model_size': 2.0, 'completion_rate': 0.0252}"
